delay,send_time,receive_time,data_length
0.019,1715859901.297,1715859901.316,1000
0.016,1715859902.335,1715859902.351,1000
0.025,1715859903.594,1715859903.619,1000
0.020,1715859904.639,1715859904.659,1000
0.016,1715859905.686,1715859905.702,1000
0.022,1715859906.950,1715859906.972,1000
0.019,1715859908.212,1715859908.231,1000
0.018,1715859909.251,1715859909.269,1000
1.027,1715859910.306,1715859911.333,1000
0.018,1715859912.356,1715859912.374,1000
2.068,1715859913.393,1715859915.461,1000
0.017,1715859918.900,1715859918.917,1000
0.036,1715859919.937,1715859919.973,1000
0.023,1715859920.992,1715859921.015,1000
1.035,1715859922.040,1715859923.075,1000
0.019,1715859924.341,1715859924.360,1000
0.016,1715859925.379,1715859925.395,1000
0.017,1715859926.422,1715859926.439,1000
0.015,1715859927.459,1715859927.474,1000
0.019,1715859928.720,1715859928.739,1000
0.020,1715859929.758,1715859929.778,1000
0.016,1715859930.796,1715859930.812,1000
0.016,1715859931.832,1715859931.848,1000
1.463,1715859932.871,1715859934.334,1000
1.040,1715859935.354,1715859936.394,1000
0.030,1715859937.423,1715859937.453,1000
1.044,1715859938.703,1715859939.747,1000
1.027,1715859940.768,1715859941.795,1000
0.018,1715859942.816,1715859942.834,1000
1.047,1715859943.853,1715859944.900,1000
0.019,1715859945.922,1715859945.941,1000
1.043,1715859946.962,1715859948.005,1000
0.017,1715859949.026,1715859949.043,1000
0.017,1715859950.062,1715859950.079,1000
0.021,1715859951.341,1715859951.362,1000
0.018,1715859952.381,1715859952.399,1000
0.019,1715859953.639,1715859953.658,1000
0.019,1715859954.679,1715859954.698,1000
1.021,1715859955.719,1715859956.740,1000
0.019,1715859957.759,1715859957.778,1000
0.019,1715859958.798,1715859958.817,1000
0.017,1715859960.069,1715859960.086,1000
0.016,1715859961.105,1715859961.121,1000
0.016,1715859962.143,1715859962.159,1000
1.051,1715859963.179,1715859964.230,1000
0.019,1715859965.250,1715859965.269,1000
0.018,1715859966.291,1715859966.309,1000
0.018,1715859967.328,1715859967.346,1000
0.020,1715859968.365,1715859968.385,1000
0.017,1715859969.404,1715859969.421,1000
0.017,1715859970.440,1715859970.457,1000
0.029,1715859971.477,1715859971.506,1000
0.020,1715859972.747,1715859972.767,1000
1.035,1715859974.713,1715859975.748,1000
0.016,1715859976.769,1715859976.785,1000
0.020,1715859977.807,1715859977.827,1000
0.017,1715859978.847,1715859978.864,1000
0.020,1715859979.884,1715859979.904,1000
0.022,1715859980.924,1715859980.946,1000
0.021,1715859981.968,1715859981.989,1000
1.029,1715859983.009,1715859984.038,1000
0.017,1715859985.057,1715859985.074,1000
0.016,1715859986.094,1715859986.110,1000
0.018,1715859987.134,1715859987.152,1000
0.016,1715859988.172,1715859988.188,1000
0.023,1715859989.209,1715859989.232,1000
0.018,1715859990.253,1715859990.271,1000
0.017,1715859991.290,1715859991.307,1000
0.018,1715859992.328,1715859992.346,1000
0.019,1715859993.379,1715859993.398,1000
0.016,1715859994.441,1715859994.457,1000
0.020,1715859995.477,1715859995.497,1000
1.027,1715859996.517,1715859997.544,1000
0.017,1715859998.574,1715859998.591,1000
0.018,1715859999.611,1715859999.629,1000
1.021,1715860000.648,1715860001.669,1000
0.027,1715860002.688,1715860002.715,1000
0.022,1715860003.738,1715860003.760,1000
0.037,1715860004.780,1715860004.817,1000
1.048,1715860005.838,1715860006.886,1000
