"No.","Time","Source","Destination","Protocol","Length","Info"
"10384","1113.320949685","192.168.110.183","192.168.110.71","TCP","66","36148  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=562635472 TSecr=4165338459"
"10385","1113.321094530","192.168.110.71","192.168.110.183","TCP","66","502  >  51110 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4165338460 TSecr=562635466"
"10386","1113.393627379","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans:  3560; Unit:   1, Func:  16: Write Multiple Registers"
"10387","1113.393694880","192.168.110.183","192.168.110.71","TCP","66","51110  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562635545 TSecr=4165338524"
"10388","1114.395048407","192.168.110.183","192.168.110.71","TCP","66","51110  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562636546 TSecr=4165338524"
"10389","1114.395767943","192.168.110.183","192.168.110.71","TCP","74","51112  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=562636547 TSecr=0 WS=128"
"10390","1114.408206554","192.168.110.71","192.168.110.183","TCP","74","502  >  51112 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4165339547 TSecr=562636547 WS=128"
"10391","1114.408331502","192.168.110.183","192.168.110.71","TCP","66","51112  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=562636559 TSecr=4165339547"
"10392","1114.408657858","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 38752; Unit:   1, Func:  16: Write Multiple Registers"
"10393","1114.413712105","192.168.110.71","192.168.110.183","TCP","66","502  >  51112 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4165339552 TSecr=562636560"
"10394","1114.417654367","192.168.110.71","192.168.110.183","TCP","66","502  >  51110 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4165339557 TSecr=562636546"
"10395","1114.417704054","192.168.110.183","192.168.110.71","TCP","66","51110  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=562636569 TSecr=4165339557"
"10396","1114.460387000","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 38752; Unit:   1, Func:  16: Write Multiple Registers"
"10397","1114.460441220","192.168.110.183","192.168.110.71","TCP","66","51112  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562636611 TSecr=4165339596"
"10398","1115.461774889","192.168.110.183","192.168.110.71","TCP","66","51112  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562637613 TSecr=4165339596"
"10399","1115.462463800","192.168.110.183","192.168.110.71","TCP","74","51124  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=562637613 TSecr=0 WS=128"
"10400","1115.474837515","192.168.110.71","192.168.110.183","TCP","74","502  >  51124 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4165340614 TSecr=562637613 WS=128"
"10401","1115.474951995","192.168.110.183","192.168.110.71","TCP","66","51124  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=562637626 TSecr=4165340614"
"10402","1115.475274757","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 58614; Unit:   1, Func:  16: Write Multiple Registers"
"10403","1115.480503901","192.168.110.71","192.168.110.183","TCP","66","502  >  51124 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4165340619 TSecr=562637626"
"10404","1115.484479183","192.168.110.71","192.168.110.183","TCP","66","502  >  51112 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4165340624 TSecr=562637613"
"10405","1115.484531319","192.168.110.183","192.168.110.71","TCP","66","51112  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=562637635 TSecr=4165340624"
"10406","1115.523865238","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 58614; Unit:   1, Func:  16: Write Multiple Registers"
"10407","1115.523932738","192.168.110.183","192.168.110.71","TCP","66","51124  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562637675 TSecr=4165340663"
"10408","1116.525257643","192.168.110.183","192.168.110.71","TCP","66","51124  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562638676 TSecr=4165340663"
"10409","1116.526041815","192.168.110.183","192.168.110.71","TCP","74","51130  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=562638677 TSecr=0 WS=128"
"10410","1116.537576723","192.168.110.71","192.168.110.183","TCP","74","502  >  51130 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4165341676 TSecr=562638677 WS=128"
"10411","1116.537680891","192.168.110.183","192.168.110.71","TCP","66","51130  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=562638689 TSecr=4165341676"
"10412","1116.537863756","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 32415; Unit:   1, Func:  16: Write Multiple Registers"
