sender_id,sequence,rtt,send_time,ack_time
1,138,0.129,1717960203.491, 1717960203.620
1,139,0.133,1717960204.621, 1717960204.755
1,140,0.121,1717960205.756, 1717960205.877
1,141,0.125,1717960206.878, 1717960207.003
1,142,0.128,1717960208.004, 1717960208.133
1,143,0.127,1717960209.134, 1717960209.261
1,144,0.145,1717960210.262, 1717960210.408
1,145,0.135,1717960211.409, 1717960211.543
1,146,0.162,1717960212.545, 1717960212.706
1,147,0.156,1717960213.707, 1717960213.863
1,148,0.118,1717960214.864, 1717960214.982
1,149,0.115,1717960215.984, 1717960216.099
1,150,0.142,1717960217.100, 1717960217.242
1,151,0.118,1717960218.243, 1717960218.361
1,152,0.130,1717960219.362, 1717960219.492
1,153,0.137,1717960220.493, 1717960220.631
1,154,0.132,1717960221.632, 1717960221.765
1,155,0.128,1717960222.766, 1717960222.894
1,156,0.126,1717960223.895, 1717960224.022
1,157,0.131,1717960225.023, 1717960225.154
1,158,0.140,1717960226.155, 1717960226.295
1,159,0.112,1717960227.297, 1717960227.409
1,160,0.115,1717960228.410, 1717960228.525
1,161,0.124,1717960229.526, 1717960229.649
1,162,0.135,1717960230.651, 1717960230.785
1,163,0.126,1717960231.786, 1717960231.913
1,164,0.127,1717960232.914, 1717960233.041
1,165,0.126,1717960234.042, 1717960234.169
1,166,0.141,1717960235.170, 1717960235.311
1,167,0.154,1717960236.312, 1717960236.466
1,168,0.126,1717960237.467, 1717960237.593
1,169,0.151,1717960238.595, 1717960238.745
1,170,0.115,1717960239.746, 1717960239.861
1,171,0.119,1717960240.863, 1717960240.982
1,172,0.099,1717960241.983, 1717960242.082
1,173,0.126,1717960243.083, 1717960243.210
1,174,0.132,1717960244.211, 1717960244.343
1,175,0.122,1717960245.344, 1717960245.467
1,176,0.147,1717960246.468, 1717960246.615
1,177,0.116,1717960247.616, 1717960247.732
1,178,0.121,1717960248.733, 1717960248.854
1,179,0.136,1717960249.856, 1717960249.992
1,180,0.145,1717960250.993, 1717960251.138
1,181,0.145,1717960252.139, 1717960252.283
1,182,0.145,1717960253.285, 1717960253.430
1,183,0.116,1717960254.431, 1717960254.547
1,184,0.144,1717960255.548, 1717960255.692
1,185,0.151,1717960256.693, 1717960256.844
1,186,0.114,1717960257.845, 1717960257.959
1,187,0.134,1717960258.960, 1717960259.095
1,188,0.149,1717960260.096, 1717960260.245
1,189,0.152,1717960261.246, 1717960261.397
1,190,0.137,1717960262.398, 1717960262.536
1,191,0.149,1717960263.537, 1717960263.686
1,192,0.111,1717960264.687, 1717960264.798
1,193,0.109,1717960265.800, 1717960265.909
1,194,0.126,1717960266.910, 1717960267.036
1,195,0.110,1717960268.037, 1717960268.147
1,196,0.140,1717960269.148, 1717960269.288
1,197,0.133,1717960270.289, 1717960270.422
1,198,0.124,1717960271.424, 1717960271.548
1,199,0.146,1717960272.549, 1717960272.695
1,200,0.173,1717960273.696, 1717960273.869
1,201,0.126,1717960274.870, 1717960274.996
1,202,0.141,1717960275.997, 1717960276.139
1,203,0.131,1717960277.140, 1717960277.271
1,204,0.131,1717960278.272, 1717960278.403
1,205,0.119,1717960279.404, 1717960279.523
1,206,0.137,1717960280.524, 1717960280.662
1,207,0.156,1717960281.663, 1717960281.819
1,208,0.133,1717960282.820, 1717960282.953
1,209,0.127,1717960283.954, 1717960284.081
1,210,0.104,1717960285.082, 1717960285.187
1,211,0.130,1717960286.188, 1717960286.318
1,212,0.125,1717960287.319, 1717960287.444
1,213,0.140,1717960288.445, 1717960288.586
1,214,0.153,1717960289.629, 1717960289.782
1,215,0.106,1717960290.783, 1717960290.889
