delay,send_time,receive_time
-0.013,1716217327.105,1716217327.092
-0.008,1716217328.167,1716217328.158
-0.019,1716217329.233,1716217329.215
0.002,1716217330.283,1716217330.285
0.007,1716217331.354,1716217331.361
-0.009,1716217332.441,1716217332.432
0.003,1716217333.514,1716217333.517
-0.008,1716217334.600,1716217334.592
-0.018,1716217335.666,1716217335.648
-0.004,1716217336.732,1716217336.728
0.002,1716217337.802,1716217337.804
-0.007,1716217338.884,1716217338.877
-0.023,1716217339.961,1716217339.938
0.002,1716217341.007,1716217341.009
-0.019,1716217342.084,1716217342.065
0.009,1716217343.146,1716217343.155
0.002,1716217344.234,1716217344.236
-0.011,1716217345.310,1716217345.300
-0.020,1716217346.370,1716217346.350
0.016,1716217347.430,1716217347.446
-0.014,1716217348.524,1716217348.511
-0.010,1716217349.597,1716217349.587
-0.004,1716217350.667,1716217350.663
-0.008,1716217351.732,1716217351.724
-0.012,1716217352.807,1716217352.796
-0.004,1716217353.875,1716217353.872
0.016,1716217354.941,1716217354.957
-0.009,1716217356.032,1716217356.023
-0.004,1716217357.108,1716217357.104
0.020,1716217358.181,1716217358.201
-0.015,1716217359.277,1716217359.262
0.021,1716217360.344,1716217360.364
-0.003,1716217361.445,1716217361.442
-0.009,1716217362.522,1716217362.513
-0.019,1716217363.575,1716217363.556
-0.004,1716217364.641,1716217364.637
0.005,1716217365.718,1716217365.723
-0.015,1716217366.799,1716217366.784
-0.015,1716217367.866,1716217367.852
0.020,1716217368.941,1716217368.960
-0.010,1716217370.036,1716217370.026
-0.024,1716217371.113,1716217371.088
-0.026,1716217372.160,1716217372.134
-0.010,1716217373.215,1716217373.205
0.002,1716217374.286,1716217374.288
-0.000,1716217375.359,1716217375.359
0.006,1716217376.434,1716217376.440
-0.015,1716217377.521,1716217377.506
-0.014,1716217378.582,1716217378.569
-0.003,1716217379.654,1716217379.650
-0.013,1716217380.741,1716217380.727
-0.005,1716217381.804,1716217381.798
-0.012,1716217382.876,1716217382.864
-0.007,1716217383.942,1716217383.935
-0.011,1716217385.025,1716217385.014
-0.015,1716217386.090,1716217386.075
-0.002,1716217387.163,1716217387.161
-0.007,1716217388.239,1716217388.232
-0.010,1716217389.313,1716217389.303
0.005,1716217390.390,1716217390.395
0.002,1716217391.471,1716217391.473
0.004,1716217392.555,1716217392.559
-0.009,1716217393.618,1716217393.609
0.010,1716217394.688,1716217394.698
0.009,1716217395.781,1716217395.790
-0.007,1716217396.873,1716217396.866
-0.006,1716217397.942,1716217397.937
-0.019,1716217399.027,1716217399.008
0.005,1716217400.102,1716217400.107
-0.011,1716217401.189,1716217401.178
-0.012,1716217402.260,1716217402.248
-0.001,1716217403.330,1716217403.329
-0.013,1716217404.406,1716217404.392
0.006,1716217405.475,1716217405.481
0.000,1716217406.559,1716217406.559
-0.012,1716217407.642,1716217407.630
0.021,1716217408.707,1716217408.728
-0.006,1716217409.800,1716217409.794
-0.013,1716217410.871,1716217410.858
-0.012,1716217411.941,1716217411.929
0.004,1716217413.006,1716217413.010
-0.011,1716217414.097,1716217414.086
0.001,1716217415.163,1716217415.163
-0.021,1716217416.240,1716217416.219
-0.019,1716217417.301,1716217417.282
-0.003,1716217418.371,1716217418.368
-0.009,1716217419.449,1716217419.440
0.007,1716217420.517,1716217420.524
-0.004,1716217421.604,1716217421.600
-0.002,1716217422.677,1716217422.676
-0.008,1716217423.757,1716217423.749
-0.012,1716217424.833,1716217424.821
-0.027,1716217425.909,1716217425.882
-0.017,1716217426.965,1716217426.948
0.011,1716217428.033,1716217428.044
-0.013,1716217429.127,1716217429.114
0.012,1716217430.198,1716217430.210
-0.009,1716217431.291,1716217431.281
-0.002,1716217432.369,1716217432.367
-0.010,1716217433.445,1716217433.435
-0.026,1716217434.516,1716217434.490
0.006,1716217435.579,1716217435.586
0.003,1716217436.663,1716217436.665
0.001,1716217437.746,1716217437.747
-0.013,1716217438.833,1716217438.821
-0.016,1716217439.902,1716217439.886
0.004,1716217440.977,1716217440.981
0.043,1716217442.081,1716217442.124
0.020,1716217443.205,1716217443.225
-0.010,1716217444.321,1716217444.310
0.001,1716217445.402,1716217445.404
0.046,1716217446.484,1716217446.529
0.010,1716217447.608,1716217447.619
-0.004,1716217448.702,1716217448.698
-0.006,1716217449.787,1716217449.781
0.000,1716217450.865,1716217450.865
-0.011,1716217451.947,1716217451.936
0.000,1716217453.017,1716217453.018
0.020,1716217454.103,1716217454.123
0.011,1716217455.205,1716217455.215
-0.006,1716217456.300,1716217456.294
0.001,1716217457.372,1716217457.373
0.015,1716217458.456,1716217458.470
-0.005,1716217459.550,1716217459.545
-0.004,1716217460.642,1716217460.638
0.011,1716217461.715,1716217461.726
0.005,1716217462.809,1716217462.814
0.008,1716217463.903,1716217463.911
0.004,1716217464.998,1716217465.002
-0.011,1716217466.099,1716217466.088
-0.013,1716217467.179,1716217467.166
-0.000,1716217468.241,1716217468.241
-0.013,1716217469.328,1716217469.316
-0.001,1716217470.406,1716217470.405
-0.008,1716217471.493,1716217471.485
-0.017,1716217472.573,1716217472.556
-0.017,1716217473.652,1716217473.635
0.005,1716217474.728,1716217474.733
-0.012,1716217475.819,1716217475.807
-0.012,1716217476.885,1716217476.873
0.014,1716217477.951,1716217477.965
-0.011,1716217479.045,1716217479.034
0.009,1716217480.116,1716217480.125
-0.012,1716217481.202,1716217481.191
-0.001,1716217482.272,1716217482.272
0.005,1716217483.346,1716217483.351
0.001,1716217484.426,1716217484.426
0.002,1716217485.517,1716217485.519
0.017,1716217486.602,1716217486.618
0.010,1716217487.703,1716217487.713
-0.005,1716217488.800,1716217488.795
-0.006,1716217489.878,1716217489.872
-0.011,1716217490.954,1716217490.942
0.007,1716217492.020,1716217492.027
-0.005,1716217493.120,1716217493.116
-0.000,1716217494.193,1716217494.193
-0.014,1716217495.275,1716217495.261
-0.015,1716217496.340,1716217496.325
0.020,1716217497.412,1716217497.432
0.025,1716217498.515,1716217498.540
-0.016,1716217499.617,1716217499.601
0.006,1716217500.696,1716217500.702
-0.015,1716217501.778,1716217501.763
0.010,1716217502.849,1716217502.859
-0.003,1716217503.946,1716217503.943
-0.020,1716217505.033,1716217505.012
0.006,1716217506.101,1716217506.107
-0.014,1716217507.189,1716217507.175
-0.020,1716217508.264,1716217508.244
-0.000,1716217509.303,1716217509.303
0.007,1716217510.393,1716217510.401
-0.005,1716217511.491,1716217511.486
-0.014,1716217512.572,1716217512.558
-0.008,1716217513.644,1716217513.635
0.010,1716217514.726,1716217514.737
-0.000,1716217515.812,1716217515.812
0.021,1716217516.890,1716217516.912
-0.010,1716217517.993,1716217517.984
0.014,1716217519.064,1716217519.078
0.005,1716217520.164,1716217520.169
-0.017,1716217521.250,1716217521.233
0.006,1716217522.306,1716217522.312
0.001,1716217523.387,1716217523.388
0.011,1716217524.469,1716217524.480
-0.009,1716217525.560,1716217525.551
-0.004,1716217526.642,1716217526.638
0.003,1716217527.723,1716217527.726
0.008,1716217528.812,1716217528.819
0.010,1716217529.900,1716217529.910
0.014,1716217530.990,1716217531.004
0.009,1716217532.087,1716217532.096
0.007,1716217533.189,1716217533.196
-0.006,1716217534.271,1716217534.265
-0.003,1716217535.344,1716217535.341
0.012,1716217536.416,1716217536.428
-0.007,1716217537.508,1716217537.500
-0.010,1716217538.575,1716217538.565
0.007,1716217539.645,1716217539.651
0.002,1716217540.732,1716217540.734
-0.007,1716217541.820,1716217541.813
-0.008,1716217542.899,1716217542.891
-0.003,1716217543.981,1716217543.978
0.014,1716217545.062,1716217545.077
0.008,1716217546.164,1716217546.172
-0.002,1716217547.258,1716217547.256
-0.027,1716217548.333,1716217548.306
0.023,1716217549.381,1716217549.404
-0.012,1716217550.483,1716217550.471
-0.018,1716217551.545,1716217551.527
0.003,1716217552.599,1716217552.602
0.013,1716217553.680,1716217553.693
-0.003,1716217554.769,1716217554.766
-0.005,1716217555.850,1716217555.846
-0.011,1716217556.939,1716217556.928
0.012,1716217558.012,1716217558.024
-0.014,1716217559.103,1716217559.089
-0.007,1716217560.168,1716217560.161
-0.002,1716217561.239,1716217561.238
0.008,1716217562.318,1716217562.325
0.009,1716217563.404,1716217563.413
-0.001,1716217564.488,1716217564.487
-0.001,1716217565.561,1716217565.560
0.023,1716217566.639,1716217566.661
0.004,1716217567.740,1716217567.744
-0.018,1716217568.823,1716217568.804
0.012,1716217569.880,1716217569.892
0.008,1716217570.965,1716217570.973
-0.007,1716217572.059,1716217572.052
0.003,1716217573.137,1716217573.140
-0.000,1716217574.213,1716217574.213
0.015,1716217575.301,1716217575.316
0.019,1716217576.383,1716217576.402
0.013,1716217577.485,1716217577.498
-0.012,1716217578.581,1716217578.569
0.018,1716217579.647,1716217579.665
-0.015,1716217580.743,1716217580.728
-0.012,1716217581.799,1716217581.787
0.001,1716217582.864,1716217582.865
0.015,1716217583.940,1716217583.955
0.019,1716217585.039,1716217585.058
-0.005,1716217586.131,1716217586.125
0.010,1716217587.205,1716217587.215
0.020,1716217588.300,1716217588.321
0.027,1716217589.395,1716217589.422
-0.000,1716217590.497,1716217590.497
-0.011,1716217591.575,1716217591.565
0.004,1716217592.645,1716217592.649
-0.005,1716217593.720,1716217593.715
-0.001,1716217594.789,1716217594.788
0.011,1716217595.873,1716217595.884
-0.011,1716217596.962,1716217596.951
-0.006,1716217598.024,1716217598.018
0.022,1716217599.096,1716217599.118
-0.001,1716217600.200,1716217600.200
-0.003,1716217601.277,1716217601.274
-0.016,1716217602.359,1716217602.344
0.015,1716217603.425,1716217603.440
0.004,1716217604.509,1716217604.513
0.014,1716217605.585,1716217605.599
0.009,1716217606.680,1716217606.688
-0.009,1716217607.775,1716217607.766
0.000,1716217608.843,1716217608.843
-0.008,1716217609.920,1716217609.911
-0.005,1716217610.983,1716217610.978
0.010,1716217612.060,1716217612.070
-0.012,1716217613.155,1716217613.143
-0.016,1716217614.234,1716217614.218
-0.014,1716217615.302,1716217615.288
0.004,1716217616.365,1716217616.369
-0.006,1716217617.443,1716217617.437
-0.002,1716217618.510,1716217618.508
-0.009,1716217619.586,1716217619.578
0.006,1716217620.660,1716217620.666
0.005,1716217621.742,1716217621.748
-0.003,1716217622.826,1716217622.823
-0.015,1716217623.910,1716217623.895
0.005,1716217624.951,1716217624.956
0.001,1716217626.027,1716217626.029
0.014,1716217627.119,1716217627.133
-0.015,1716217628.212,1716217628.196
0.005,1716217629.282,1716217629.286
-0.015,1716217630.359,1716217630.345
0.015,1716217631.430,1716217631.445
0.001,1716217632.520,1716217632.522
-0.010,1716217633.598,1716217633.588
-0.010,1716217634.659,1716217634.648
0.020,1716217635.716,1716217635.736
0.015,1716217636.811,1716217636.826
0.009,1716217637.897,1716217637.906
0.004,1716217638.987,1716217638.991
0.013,1716217640.067,1716217640.080
-0.005,1716217641.147,1716217641.142
-0.000,1716217642.223,1716217642.223
-0.009,1716217643.299,1716217643.290
-0.010,1716217644.360,1716217644.351
-0.009,1716217645.429,1716217645.419
-0.009,1716217646.505,1716217646.496
-0.014,1716217647.566,1716217647.553
-0.009,1716217648.616,1716217648.607
-0.004,1716217649.683,1716217649.679
-0.010,1716217650.751,1716217650.741
-0.004,1716217651.822,1716217651.817
-0.025,1716217652.890,1716217652.864
0.011,1716217653.952,1716217653.964
0.006,1716217655.039,1716217655.045
-0.004,1716217656.131,1716217656.126
0.001,1716217657.202,1716217657.203
0.002,1716217658.278,1716217658.280
0.008,1716217659.355,1716217659.363
0.001,1716217660.446,1716217660.447
-0.012,1716217661.528,1716217661.517
-0.001,1716217662.592,1716217662.591
0.026,1716217663.668,1716217663.693
-0.009,1716217664.764,1716217664.756
0.001,1716217665.831,1716217665.832
0.008,1716217666.902,1716217666.910
-0.003,1716217667.984,1716217667.980
0.003,1716217669.052,1716217669.056
-0.005,1716217670.141,1716217670.136
0.000,1716217671.206,1716217671.206
0.016,1716217672.289,1716217672.305
0.007,1716217673.383,1716217673.390
-0.012,1716217674.479,1716217674.466
0.014,1716217675.547,1716217675.560
0.024,1716217676.645,1716217676.669
0.005,1716217677.746,1716217677.751
0.009,1716217678.836,1716217678.845
0.010,1716217679.915,1716217679.925
0.004,1716217681.000,1716217681.004
-0.013,1716217682.077,1716217682.064
0.023,1716217683.139,1716217683.162
-0.013,1716217684.248,1716217684.235
-0.014,1716217685.318,1716217685.303
0.017,1716217686.378,1716217686.394
-0.006,1716217687.466,1716217687.460
0.005,1716217688.536,1716217688.541
0.019,1716217689.616,1716217689.635
0.014,1716217690.715,1716217690.728
0.002,1716217691.795,1716217691.797
0.023,1716217692.863,1716217692.886
-0.004,1716217693.963,1716217693.959
0.009,1716217695.034,1716217695.042
-0.001,1716217696.114,1716217696.113
0.002,1716217697.194,1716217697.195
0.007,1716217698.270,1716217698.276
-0.007,1716217699.350,1716217699.343
0.015,1716217700.430,1716217700.445
-0.004,1716217701.529,1716217701.526
0.025,1716217702.607,1716217702.631
0.007,1716217703.706,1716217703.713
0.005,1716217704.792,1716217704.797
-0.004,1716217705.863,1716217705.859
0.010,1716217706.928,1716217706.938
-0.013,1716217708.008,1716217707.994
0.013,1716217709.068,1716217709.081
0.118,1716217710.156,1716217710.274
0.116,1716217711.353,1716217711.470
-0.003,1716217712.691,1716217712.688
0.004,1716217713.762,1716217713.766
0.109,1716217714.854,1716217714.963
0.026,1716217716.237,1716217716.263
-0.009,1716217717.384,1716217717.375
0.059,1716217718.461,1716217718.519
0.007,1716217719.607,1716217719.614
0.010,1716217720.689,1716217720.699
-0.010,1716217721.777,1716217721.767
0.007,1716217722.864,1716217722.871
-0.006,1716217723.945,1716217723.940
-0.004,1716217725.037,1716217725.033
0.014,1716217726.104,1716217726.118
0.002,1716217727.198,1716217727.201
0.014,1716217728.278,1716217728.292
0.012,1716217729.374,1716217729.386
0.030,1716217730.471,1716217730.501
0.001,1716217731.575,1716217731.576
0.030,1716217732.663,1716217732.693
-0.006,1716217733.762,1716217733.755
0.018,1716217734.843,1716217734.862
0.018,1716217735.935,1716217735.953
0.021,1716217737.032,1716217737.053
0.016,1716217738.123,1716217738.139
-0.007,1716217739.220,1716217739.213
0.030,1716217740.282,1716217740.312
0.022,1716217741.392,1716217741.414
0.036,1716217742.484,1716217742.520
0.011,1716217743.589,1716217743.599
0.005,1716217744.681,1716217744.686
0.003,1716217745.759,1716217745.762
-0.012,1716217746.832,1716217746.820
0.009,1716217747.885,1716217747.894
0.009,1716217748.973,1716217748.982
-0.007,1716217750.055,1716217750.047
0.004,1716217751.129,1716217751.133
-0.002,1716217752.211,1716217752.210
0.004,1716217753.280,1716217753.283
-0.012,1716217754.371,1716217754.359
-0.002,1716217755.437,1716217755.435
-0.006,1716217756.523,1716217756.518
-0.007,1716217757.583,1716217757.576
0.015,1716217758.644,1716217758.660
0.003,1716217759.742,1716217759.745
-0.002,1716217760.826,1716217760.824
0.013,1716217761.892,1716217761.905
-0.008,1716217762.979,1716217762.971
-0.002,1716217764.035,1716217764.033
-0.008,1716217765.106,1716217765.098
-0.006,1716217766.173,1716217766.167
0.004,1716217767.240,1716217767.244
0.004,1716217768.319,1716217768.323
0.004,1716217769.387,1716217769.391
0.004,1716217770.464,1716217770.468
0.015,1716217771.548,1716217771.563
0.019,1716217772.636,1716217772.654
-0.012,1716217773.731,1716217773.719
0.004,1716217774.796,1716217774.800
0.005,1716217775.873,1716217775.878
0.023,1716217776.946,1716217776.969
0.008,1716217778.050,1716217778.058
0.019,1716217779.122,1716217779.141
0.002,1716217780.223,1716217780.226
0.025,1716217781.304,1716217781.328
-0.010,1716217782.396,1716217782.385
-0.002,1716217783.462,1716217783.460
0.014,1716217784.540,1716217784.554
0.009,1716217785.638,1716217785.646
0.024,1716217786.719,1716217786.743
0.023,1716217787.812,1716217787.836
0.014,1716217788.906,1716217788.920
0.023,1716217789.988,1716217790.011
0.026,1716217791.091,1716217791.116
0.023,1716217792.186,1716217792.209
0.003,1716217793.290,1716217793.293
0.000,1716217794.371,1716217794.371
0.016,1716217795.458,1716217795.474
0.011,1716217796.547,1716217796.558
0.013,1716217797.625,1716217797.639
-0.010,1716217798.711,1716217798.701
0.013,1716217799.783,1716217799.796
0.014,1716217800.867,1716217800.882
-0.010,1716217801.956,1716217801.946
-0.002,1716217803.032,1716217803.030
-0.005,1716217804.102,1716217804.098
0.022,1716217805.183,1716217805.204
0.017,1716217806.277,1716217806.295
0.019,1716217807.376,1716217807.395
0.000,1716217808.471,1716217808.471
-0.004,1716217809.551,1716217809.547
0.006,1716217810.627,1716217810.633
-0.007,1716217811.705,1716217811.698
-0.012,1716217812.770,1716217812.758
0.006,1716217813.846,1716217813.852
0.005,1716217814.932,1716217814.938
-0.007,1716217816.005,1716217815.999
0.012,1716217817.071,1716217817.082
-0.000,1716217818.155,1716217818.154
-0.009,1716217819.239,1716217819.231
0.001,1716217820.303,1716217820.305
0.004,1716217821.385,1716217821.389
0.009,1716217822.470,1716217822.479
-0.006,1716217823.552,1716217823.546
0.015,1716217824.626,1716217824.641
0.014,1716217825.710,1716217825.724
0.026,1716217826.788,1716217826.814
0.031,1716217827.889,1716217827.920
0.004,1716217828.999,1716217829.002
-0.011,1716217830.066,1716217830.055
0.000,1716217831.135,1716217831.136
-0.006,1716217832.204,1716217832.198
0.005,1716217833.280,1716217833.285
-0.016,1716217834.355,1716217834.339
0.022,1716217835.403,1716217835.425
0.004,1716217836.492,1716217836.496
0.020,1716217837.563,1716217837.583
0.024,1716217838.660,1716217838.683
0.006,1716217839.760,1716217839.766
0.015,1716217840.846,1716217840.861
0.002,1716217841.933,1716217841.935
0.020,1716217843.015,1716217843.035
-0.010,1716217844.103,1716217844.093
-0.002,1716217845.167,1716217845.165
0.007,1716217846.232,1716217846.239
-0.004,1716217847.306,1716217847.302
0.001,1716217848.375,1716217848.376
0.010,1716217849.448,1716217849.458
-0.010,1716217851.234,1716217851.224
-0.002,1716217852.314,1716217852.311
0.005,1716217853.384,1716217853.390
0.007,1716217854.464,1716217854.471
0.019,1716217855.542,1716217855.561
0.002,1716217856.638,1716217856.640
0.025,1716217857.713,1716217857.737
0.003,1716217858.806,1716217858.809
-0.004,1716217859.889,1716217859.885
-0.004,1716217860.964,1716217860.960
-0.008,1716217862.027,1716217862.018
-0.009,1716217863.095,1716217863.086
0.009,1716217864.170,1716217864.180
0.007,1716217865.251,1716217865.258
0.003,1716217866.330,1716217866.333
-0.003,1716217867.405,1716217867.401
0.015,1716217868.465,1716217868.480
0.017,1716217869.557,1716217869.574
0.028,1716217870.650,1716217870.678
0.015,1716217871.747,1716217871.762
0.015,1716217872.826,1716217872.841
0.005,1716217873.918,1716217873.922
-0.001,1716217875.004,1716217875.004
0.018,1716217876.083,1716217876.101
-0.008,1716217877.165,1716217877.157
-0.000,1716217878.220,1716217878.220
0.010,1716217879.291,1716217879.301
0.000,1716217880.427,1716217880.427
0.002,1716217881.498,1716217881.500
0.013,1716217882.567,1716217882.579
0.013,1716217883.651,1716217883.664
-0.000,1716217884.736,1716217884.735
-0.003,1716217885.807,1716217885.804
-0.000,1716217886.883,1716217886.882
-0.010,1716217887.955,1716217887.945
0.022,1716217889.013,1716217889.036
0.002,1716217890.112,1716217890.114
0.001,1716217891.197,1716217891.198
0.012,1716217892.262,1716217892.274
0.031,1716217893.348,1716217893.380
0.007,1716217894.446,1716217894.453
0.017,1716217895.527,1716217895.544
-0.015,1716217896.613,1716217896.597
-0.001,1716217897.666,1716217897.665
-0.008,1716217898.731,1716217898.723
0.022,1716217899.797,1716217899.819
0.022,1716217900.891,1716217900.913
0.013,1716217901.979,1716217901.992
-0.000,1716217903.063,1716217903.063
-0.008,1716217904.135,1716217904.127
0.023,1716217905.199,1716217905.222
-0.001,1716217906.293,1716217906.292
-0.004,1716217907.376,1716217907.372
0.011,1716217908.437,1716217908.448
0.007,1716217909.514,1716217909.521
0.002,1716217910.598,1716217910.600
0.007,1716217911.681,1716217911.688
0.003,1716217912.764,1716217912.766
0.030,1716217913.838,1716217913.868
0.017,1716217914.935,1716217914.952
0.003,1716217916.024,1716217916.027
0.000,1716217917.096,1716217917.096
0.034,1716217918.162,1716217918.197
0.014,1716217919.263,1716217919.277
-0.003,1716217920.349,1716217920.346
0.002,1716217921.422,1716217921.424
0.030,1716217922.492,1716217922.522
0.010,1716217923.588,1716217923.598
