sender_id,sequence,rtt,send_time,ack_time
1,138,2.146,1717962205.462, 1717962207.608
1,139,0.126,1717962208.610, 1717962208.736
1,140,0.572,1717962209.737, 1717962210.310
1,141,0.138,1717962211.311, 1717962211.449
1,142,0.344,1717962212.450, 1717962212.794
1,143,0.122,1717962213.796, 1717962213.918
1,144,0.137,1717962214.919, 1717962215.056
1,145,0.377,1717962216.057, 1717962216.433
1,146,0.139,1717962217.435, 1717962217.574
1,147,0.141,1717962218.575, 1717962218.716
1,148,1.138,1717962219.717, 1717962220.856
1,149,0.137,1717962221.857, 1717962221.994
1,150,2.154,1717962222.995, 1717962225.150
1,151,1.121,1717962226.151, 1717962227.272
1,152,0.116,1717962228.274, 1717962228.389
1,153,2.151,1717962229.390, 1717962231.541
1,154,0.121,1717962232.542, 1717962232.663
1,155,0.136,1717962233.695, 1717962233.831
1,156,0.138,1717962234.832, 1717962234.971
1,157,0.141,1717962235.972, 1717962236.113
1,158,1.823,1717962237.114, 1717962238.937
1,159,0.338,1717962239.938, 1717962240.277
1,160,1.134,1717962241.278, 1717962242.412
1,161,0.133,1717962243.413, 1717962243.546
1,162,2.216,1717962244.547, 1717962246.763
1,163,1.168,1717962247.764, 1717962248.932
1,164,0.349,1717962249.934, 1717962250.282
1,165,1.158,1717962251.283, 1717962252.442
1,166,1.157,1717962253.464, 1717962254.621
1,167,0.130,1717962255.622, 1717962255.752
1,168,1.372,1717962256.753, 1717962258.125
1,169,3.413,1717962259.127, 1717962262.540
1,170,0.350,1717962263.541, 1717962263.891
1,171,0.138,1717962264.892, 1717962265.030
1,172,0.134,1717962266.032, 1717962266.166
1,173,0.140,1717962267.167, 1717962267.307
1,174,0.135,1717962268.308, 1717962268.443
1,175,0.142,1717962269.445, 1717962269.587
1,176,1.134,1717962270.588, 1717962271.721
1,177,0.139,1717962272.722, 1717962272.861
1,178,0.127,1717962273.863, 1717962273.989
1,179,1.168,1717962274.991, 1717962276.158
1,180,3.818,1717962277.160, 1717962280.978
1,181,1.129,1717962281.980, 1717962283.109
1,182,0.342,1717962284.111, 1717962284.453
1,183,1.132,1717962285.454, 1717962286.586
1,184,1.146,1717962287.587, 1717962288.733
1,185,0.138,1717962289.755, 1717962289.893
1,186,0.153,1717962290.894, 1717962291.047
1,187,0.584,1717962292.048, 1717962292.632
1,188,0.350,1717962293.633, 1717962293.983
1,189,1.150,1717962295.014, 1717962296.164
1,190,0.129,1717962297.165, 1717962297.294
1,191,0.128,1717962298.295, 1717962298.423
1,192,0.121,1717962299.425, 1717962299.545
1,193,0.121,1717962300.546, 1717962300.667
1,194,1.149,1717962301.668, 1717962302.818
1,195,0.134,1717962303.819, 1717962303.953
1,196,1.148,1717962304.954, 1717962306.102
1,197,1.385,1717962307.103, 1717962308.488
1,198,0.139,1717962309.489, 1717962309.628
1,199,1.375,1717962310.630, 1717962312.005
1,200,0.357,1717962313.006, 1717962313.363
1,201,1.134,1717962314.364, 1717962315.498
1,202,1.150,1717962316.499, 1717962317.649
1,203,0.140,1717962318.651, 1717962318.791
1,204,0.350,1717962319.792, 1717962320.142
1,205,0.556,1717962321.143, 1717962321.700
1,206,1.147,1717962322.701, 1717962323.848
1,207,0.157,1717962324.850, 1717962325.007
1,208,2.387,1717962326.008, 1717962328.395
1,209,1.161,1717962329.396, 1717962330.558
1,210,0.133,1717962331.559, 1717962331.692
1,211,0.342,1717962332.694, 1717962333.036
1,212,0.581,1717962334.037, 1717962334.618
1,213,0.130,1717962335.619, 1717962335.749
1,214,0.360,1717962336.750, 1717962337.110
1,215,1.164,1717962338.111, 1717962339.275
1,216,1.356,1717962340.277, 1717962341.632
1,217,0.138,1717962342.634, 1717962342.771
1,218,1.159,1717962343.773, 1717962344.932
1,219,0.146,1717962345.933, 1717962346.079
1,220,0.152,1717962347.080, 1717962347.233
1,221,1.131,1717962348.234, 1717962349.365
1,222,0.119,1717962350.366, 1717962350.485
1,223,0.123,1717962351.486, 1717962351.609
1,224,1.142,1717962352.610, 1717962353.752
1,225,1.388,1717962354.753, 1717962356.141
1,226,2.173,1717962357.143, 1717962359.316
1,227,1.151,1717962360.331, 1717962361.482
1,228,0.132,1717962362.483, 1717962362.615
1,229,1.373,1717962363.616, 1717962364.990
1,230,0.109,1717962365.991, 1717962366.100
1,231,1.172,1717962367.101, 1717962368.274
1,232,0.121,1717962369.275, 1717962369.396
1,233,0.128,1717962370.398, 1717962370.525
1,234,1.311,1717962371.527, 1717962372.837
1,235,0.138,1717962373.839, 1717962373.977
1,236,0.143,1717962374.978, 1717962375.121
1,237,0.145,1717962376.122, 1717962376.267
1,238,1.713,1717962377.268, 1717962378.982
1,239,1.365,1717962379.983, 1717962381.347
1,240,1.395,1717962382.349, 1717962383.744
1,241,0.126,1717962384.745, 1717962384.872
1,242,0.125,1717962385.873, 1717962385.997
1,243,0.133,1717962386.998, 1717962387.131
1,244,2.149,1717962388.132, 1717962390.282
1,245,1.133,1717962391.283, 1717962392.416
1,246,0.113,1717962393.417, 1717962393.531
1,247,0.346,1717962394.532, 1717962394.877
1,248,2.179,1717962395.879, 1717962398.057
1,249,0.366,1717962399.059, 1717962399.425
1,250,0.368,1717962400.426, 1717962400.794
1,251,0.126,1717962401.795, 1717962401.921
1,252,0.383,1717962402.922, 1717962403.305
1,253,1.154,1717962404.307, 1717962405.461
1,254,0.389,1717962406.462, 1717962406.851
1,255,0.132,1717962407.852, 1717962407.984
1,256,0.125,1717962408.985, 1717962409.110
1,257,0.361,1717962410.111, 1717962410.472
1,258,0.329,1717962411.473, 1717962411.802
1,259,0.122,1717962412.803, 1717962412.926
1,260,0.140,1717962413.927, 1717962414.067
1,261,1.150,1717962415.068, 1717962416.217
1,262,1.150,1717962417.219, 1717962418.369
1,263,1.358,1717962419.370, 1717962420.728
1,264,1.160,1717962421.730, 1717962422.890
1,265,1.350,1717962423.892, 1717962425.242
1,266,2.171,1717962426.243, 1717962428.414
1,267,0.137,1717962429.415, 1717962429.552
1,268,3.903,1717962430.553, 1717962434.456
1,269,1.376,1717962435.457, 1717962436.834
1,270,1.147,1717962437.835, 1717962438.982
1,271,2.157,1717962439.983, 1717962442.141
1,272,1.572,1717962443.142, 1717962444.714
1,273,1.150,1717962445.715, 1717962446.865
1,274,0.141,1717962447.866, 1717962448.008
1,275,1.359,1717962449.009, 1717962450.368
1,276,0.125,1717962451.369, 1717962451.494
1,277,0.113,1717962452.495, 1717962452.608
1,278,0.111,1717962453.609, 1717962453.720
1,279,1.168,1717962454.722, 1717962455.889
1,280,0.347,1717962456.891, 1717962457.238
1,281,0.130,1717962458.239, 1717962458.369
1,282,0.116,1717962459.371, 1717962459.487
1,283,0.345,1717962460.488, 1717962460.833
1,284,0.342,1717962461.834, 1717962462.176
1,285,1.171,1717962463.177, 1717962464.348
1,286,0.154,1717962465.349, 1717962465.503
1,287,0.126,1717962466.505, 1717962466.630
1,288,2.162,1717962467.632, 1717962469.793
1,289,5.018,1717962470.794, 1717962475.813
1,290,1.147,1717962476.814, 1717962477.961
1,291,0.350,1717962478.962, 1717962479.312
1,292,1.137,1717962480.313, 1717962481.450
1,293,0.132,1717962482.451, 1717962482.583
1,294,1.383,1717962483.584, 1717962484.966
1,295,0.136,1717962485.968, 1717962486.103
1,296,0.130,1717962487.105, 1717962487.235
1,297,0.353,1717962488.236, 1717962488.589
1,298,0.111,1717962489.590, 1717962489.702
1,299,1.368,1717962490.703, 1717962492.071
1,300,0.829,1717962493.072, 1717962493.901
1,301,0.129,1717962494.902, 1717962495.031
1,302,0.354,1717962496.033, 1717962496.386
1,303,0.123,1717962497.388, 1717962497.510
1,304,6.034,1717962498.511, 1717962504.545
1,305,0.166,1717962505.546, 1717962505.713
1,306,2.526,1717962506.714, 1717962509.240
1,307,0.352,1717962510.241, 1717962510.593
1,308,0.109,1717962511.594, 1717962511.703
1,309,0.356,1717962512.704, 1717962513.060
1,310,0.140,1717962514.062, 1717962514.202
1,311,0.118,1717962515.203, 1717962515.320
1,312,0.355,1717962516.321, 1717962516.677
1,313,1.142,1717962517.678, 1717962518.820
1,314,1.364,1717962519.821, 1717962521.185
1,315,0.129,1717962522.186, 1717962522.315
1,316,0.370,1717962523.317, 1717962523.687
1,317,1.381,1717962524.688, 1717962526.069
1,318,3.470,1717962527.071, 1717962530.540
1,319,0.141,1717962531.542, 1717962531.683
1,320,0.139,1717962532.684, 1717962532.823
1,321,1.363,1717962533.825, 1717962535.188
1,322,0.362,1717962536.189, 1717962536.552
1,323,1.152,1717962537.553, 1717962538.705
1,324,0.132,1717962539.706, 1717962539.838
1,325,1.673,1717962540.839, 1717962542.513
1,326,0.143,1717962543.514, 1717962543.657
1,327,0.334,1717962544.658, 1717962544.992
1,328,1.155,1717962545.993, 1717962547.149
1,329,0.367,1717962548.150, 1717962548.517
1,330,2.174,1717962549.518, 1717962551.692
1,331,1.154,1717962552.693, 1717962553.848
1,332,0.101,1717962554.849, 1717962554.950
1,333,0.115,1717962555.952, 1717962556.067
1,334,0.129,1717962557.068, 1717962557.197
