sender_id,sequence,ack_time
1,289,1717960375.407
1,290,1717960376.538
1,291,1717960377.663
1,292,1717960378.798
1,293,1717960379.950
1,294,1717960381.078
1,295,1717960382.210
1,296,1717960383.330
1,297,1717960384.478
1,298,1717960385.616
1,299,1717960386.775
1,300,1717960387.913
1,301,1717960389.069
1,302,1717960390.200
1,303,1717960391.342
1,304,1717960392.461
1,305,1717960393.586
1,306,1717960394.704
1,307,1717960395.823
1,308,1717960396.960
1,309,1717960398.093
1,310,1717960399.237
1,311,1717960400.356
1,312,1717960401.470
1,313,1717960402.607
1,314,1717960403.873
1,315,1717960404.990
1,316,1717960406.134
1,317,1717960407.270
1,318,1717960408.417
1,319,1717960409.532
1,320,1717960410.663
1,321,1717960411.811
1,322,1717960412.945
1,323,1717960414.084
1,324,1717960415.215
1,325,1717960416.369
1,326,1717960417.499
1,327,1717960418.620
1,328,1717960419.752
1,329,1717960421.022
1,330,1717960422.126
1,331,1717960423.282
1,332,1717960424.401
1,333,1717960425.545
1,334,1717960426.795
1,335,1717960427.917
1,336,1717960429.063
1,337,1717960430.195
1,338,1717960431.332
1,339,1717960432.469
1,340,1717960433.607
1,341,1717960434.728
1,342,1717960435.860
1,343,1717960437.004
1,344,1717960438.224
1,345,1717960439.366
1,346,1717960440.508
1,347,1717960441.636
1,348,1717960442.773
1,349,1717960444.033
1,350,1717960445.147
1,351,1717960446.313
1,352,1717960447.465
1,353,1717960448.586
1,354,1717960449.832
1,355,1717960450.995
1,356,1717960452.130
1,357,1717960453.282
1,358,1717960454.409
1,359,1717960455.522
1,360,1717960456.636
1,361,1717960457.809
1,362,1717960458.964
1,363,1717960460.098
1,364,1717960461.244
1,365,1717960462.387
1,366,1717960463.544
1,367,1717960464.687
1,368,1717960465.818
1,369,1717960467.064
1,370,1717960468.186
1,371,1717960469.276
1,372,1717960470.403
1,373,1717960471.529
1,374,1717960472.757
1,375,1717960473.896
1,376,1717960475.054
1,377,1717960476.193
1,378,1717960477.333
1,379,1717960478.444
1,380,1717960479.578
1,381,1717960480.723
1,382,1717960481.861
1,383,1717960482.995
1,384,1717960484.145
1,385,1717960485.276
1,386,1717960486.421
1,387,1717960487.557
1,388,1717960488.684
1,389,1717960489.886
1,390,1717960491.015
1,391,1717960492.138
1,392,1717960493.285
1,393,1717960494.430
1,394,1717960495.665
1,395,1717960496.810
1,396,1717960497.962
1,397,1717960499.098
1,398,1717960500.233
1,399,1717960501.371
1,400,1717960502.499
1,401,1717960503.643
1,402,1717960504.766
1,403,1717960505.900
1,404,1717960507.078
1,405,1717960508.214
1,406,1717960509.358
1,407,1717960510.511
1,408,1717960511.638
1,409,1717960512.906
1,410,1717960514.027
1,411,1717960515.162
1,412,1717960516.338
1,413,1717960517.443
1,414,1717960518.583
1,415,1717960519.733
1,416,1717960520.830
1,417,1717960521.986
1,418,1717960523.138
1,419,1717960524.283
1,420,1717960525.444
1,421,1717960526.570
1,422,1717960527.706
1,423,1717960528.859
1,424,1717960530.053
1,425,1717960531.174
1,426,1717960532.329
1,427,1717960533.466
1,428,1717960534.606
1,429,1717960535.769
1,430,1717960536.902
1,431,1717960538.063
1,432,1717960539.201
1,433,1717960540.352
1,434,1717960541.511
1,435,1717960542.638
1,436,1717960543.764
1,437,1717960544.904
1,438,1717960546.048
1,439,1717960547.202
1,440,1717960548.314
1,441,1717960549.456
1,442,1717960550.602
1,443,1717960551.775
1,444,1717960552.925
1,445,1717960554.065
1,446,1717960555.203
1,447,1717960556.350
1,448,1717960557.499
1,449,1717960558.649
1,450,1717960559.777
1,451,1717960560.918
1,452,1717960562.051
1,453,1717960563.180
1,454,1717960564.322
1,455,1717960565.446
1,456,1717960566.595
1,457,1717960567.727
1,458,1717960568.865
1,459,1717960569.994
1,460,1717960571.124
1,461,1717960572.266
1,462,1717960573.385
1,463,1717960574.522
1,464,1717960575.673
1,465,1717960576.805
1,466,1717960577.935
1,467,1717960579.074
1,468,1717960580.227
1,469,1717960581.349
1,470,1717960582.481
1,471,1717960583.632
1,472,1717960584.755
1,473,1717960585.896
1,474,1717960587.023
1,475,1717960588.172
1,476,1717960589.313
1,477,1717960590.454
1,478,1717960591.594
1,479,1717960592.761
1,480,1717960593.889
1,481,1717960595.032
1,482,1717960596.168
1,483,1717960597.300
1,484,1717960598.433
1,485,1717960599.561
1,486,1717960600.702
1,487,1717960601.856
1,488,1717960602.967
1,489,1717960604.098
1,490,1717960605.240
1,491,1717960606.370
1,492,1717960607.490
1,493,1717960608.609
1,494,1717960609.764
1,495,1717960610.894
1,496,1717960612.025
1,497,1717960613.164
1,498,1717960614.297
1,499,1717960615.454
1,500,1717960616.641
1,501,1717960617.809
1,502,1717960618.936
1,503,1717960620.067
1,504,1717960621.188
1,505,1717960622.358
1,506,1717960623.482
1,507,1717960624.607
1,508,1717960625.752
1,509,1717960626.958
1,510,1717960628.102
1,511,1717960629.258
1,512,1717960630.388
1,513,1717960631.516
1,514,1717960632.638
1,515,1717960633.774
1,516,1717960634.978
1,517,1717960636.122
1,518,1717960637.227
1,519,1717960638.371
1,520,1717960639.508
1,521,1717960640.688
1,522,1717960641.823
1,523,1717960642.974
1,524,1717960644.098
1,525,1717960645.264
1,526,1717960646.383
1,527,1717960647.518
1,528,1717960648.657
1,529,1717960649.794
1,530,1717960650.945
1,531,1717960652.073
1,532,1717960653.205
1,533,1717960654.349
1,534,1717960655.491
1,535,1717960656.610
1,536,1717960657.791
1,537,1717960658.919
1,538,1717960660.049
1,539,1717960661.189
