delay,send_time,receive_time
0.063,1715862536.190,1715862536.252
0.046,1715862537.278,1715862537.324
0.044,1715862538.362,1715862538.406
0.050,1715862539.427,1715862539.477
0.058,1715862540.505,1715862540.563
0.300,1715862541.589,1715862541.888
0.061,1715862542.922,1715862542.982
0.048,1715862544.012,1715862544.061
0.044,1715862545.086,1715862545.130
1.080,1715862546.163,1715862547.243
0.053,1715862548.266,1715862548.319
1.056,1715862549.353,1715862550.409
0.047,1715862551.436,1715862551.483
2.068,1715862552.740,1715862554.808
0.054,1715862555.833,1715862555.887
0.054,1715862556.915,1715862556.969
0.048,1715862558.002,1715862558.051
0.060,1715862559.089,1715862559.149
1.071,1715862560.179,1715862561.250
0.272,1715862562.273,1715862562.545
0.073,1715862563.573,1715862563.646
0.039,1715862564.669,1715862564.708
0.054,1715862565.746,1715862565.800
0.058,1715862566.825,1715862566.884
0.033,1715862568.130,1715862568.163
0.060,1715862569.197,1715862569.257
0.042,1715862570.285,1715862570.328
0.055,1715862571.356,1715862571.411
1.064,1715862572.436,1715862573.500
0.040,1715862574.533,1715862574.573
0.039,1715862575.601,1715862575.639
0.067,1715862576.668,1715862576.735
0.053,1715862577.767,1715862577.820
0.054,1715862578.857,1715862578.911
0.055,1715862579.948,1715862580.003
1.115,1715862581.027,1715862582.142
0.045,1715862583.175,1715862583.220
0.068,1715862584.251,1715862584.320
0.053,1715862585.340,1715862585.393
4.033,1715862586.421,1715862590.454
0.263,1715862591.497,1715862591.760
1.041,1715862592.783,1715862593.824
0.264,1715862594.866,1715862595.129
0.056,1715862596.158,1715862596.214
0.038,1715862597.256,1715862597.294
0.049,1715862598.332,1715862598.381
5.186,1715862599.409,1715862604.595
1.301,1715862605.429,1715862606.730
1.049,1715862607.758,1715862608.807
1.349,1715862609.840,1715862611.189
0.033,1715862612.216,1715862612.249
0.043,1715862613.282,1715862613.326
0.066,1715862614.348,1715862614.414
0.032,1715862615.439,1715862615.471
0.056,1715862616.491,1715862616.547
0.038,1715862617.802,1715862617.839
0.054,1715862618.871,1715862618.925
0.039,1715862619.958,1715862619.997
0.048,1715862621.039,1715862621.087
0.045,1715862622.117,1715862622.162
0.060,1715862623.411,1715862623.471
0.043,1715862624.499,1715862624.542
0.296,1715862625.575,1715862625.871
1.069,1715862626.899,1715862627.968
0.060,1715862628.996,1715862629.057
0.039,1715862630.085,1715862630.124
0.063,1715862631.148,1715862631.211
0.035,1715862632.470,1715862632.504
0.065,1715862633.524,1715862633.589
0.038,1715862634.628,1715862634.666
1.293,1715862635.706,1715862636.998
0.035,1715862638.021,1715862638.056
0.259,1715862639.084,1715862639.343
3.534,1715862640.372,1715862643.906
0.055,1715862644.937,1715862644.992
4.614,1715862646.256,1715862650.870
0.052,1715862651.890,1715862651.942
0.058,1715862652.975,1715862653.033
0.048,1715862654.061,1715862654.109
0.043,1715862655.138,1715862655.181
0.052,1715862656.205,1715862656.257
0.038,1715862657.298,1715862657.336
0.043,1715862658.369,1715862658.412
1.063,1715862659.657,1715862660.720
0.262,1715862661.748,1715862662.010
0.054,1715862663.043,1715862663.097
1.047,1715862664.144,1715862665.191
0.054,1715862666.229,1715862666.283
0.062,1715862667.316,1715862667.377
0.073,1715862668.408,1715862668.482
1.056,1715862669.504,1715862670.560
1.065,1715862671.586,1715862672.651
0.077,1715862673.674,1715862673.751
0.049,1715862674.778,1715862674.827
5.366,1715862675.851,1715862681.217
0.052,1715862681.870,1715862681.921
0.039,1715862682.923,1715862682.962
1.029,1715862683.984,1715862685.014
0.044,1715862686.036,1715862686.080
0.049,1715862687.107,1715862687.156
0.056,1715862688.183,1715862688.238
0.058,1715862689.271,1715862689.329
0.060,1715862690.362,1715862690.422
0.047,1715862691.449,1715862691.496
0.053,1715862692.520,1715862692.573
0.065,1715862693.600,1715862693.665
1.063,1715862694.693,1715862695.756
1.068,1715862696.789,1715862697.857
0.045,1715862698.888,1715862698.933
2.932,1715862699.965,1715862702.897
1.051,1715862703.929,1715862704.980
0.060,1715862706.006,1715862706.066
0.065,1715862707.093,1715862707.157
0.052,1715862708.185,1715862708.237
0.059,1715862709.280,1715862709.339
1.060,1715862710.366,1715862711.426
0.050,1715862712.453,1715862712.503
0.045,1715862713.522,1715862713.566
0.044,1715862714.593,1715862714.637
0.069,1715862715.881,1715862715.950
0.035,1715862716.977,1715862717.012
1.038,1715862718.031,1715862719.068
0.041,1715862720.095,1715862720.136
0.060,1715862721.160,1715862721.221
0.060,1715862722.242,1715862722.302
1.090,1715862723.328,1715862724.418
0.030,1715862725.444,1715862725.475
0.270,1715862726.508,1715862726.778
0.046,1715862727.799,1715862727.845
0.041,1715862728.877,1715862728.918
0.079,1715862729.950,1715862730.029
0.059,1715862731.065,1715862731.124
0.255,1715862732.155,1715862732.410
1.083,1715862733.435,1715862734.519
0.058,1715862735.545,1715862735.604
0.053,1715862736.852,1715862736.905
0.063,1715862737.928,1715862737.990
0.044,1715862739.012,1715862739.056
0.049,1715862740.304,1715862740.353
0.055,1715862741.385,1715862741.439
0.070,1715862742.680,1715862742.750
0.045,1715862743.776,1715862743.820
0.038,1715862744.848,1715862744.886
0.041,1715862745.918,1715862745.959
0.054,1715862747.204,1715862747.258
0.050,1715862748.292,1715862748.342
0.044,1715862749.374,1715862749.418
0.046,1715862750.444,1715862750.491
0.040,1715862751.517,1715862751.558
0.045,1715862752.596,1715862752.641
0.076,1715862753.666,1715862753.741
0.047,1715862754.778,1715862754.825
0.082,1715862756.072,1715862756.154
0.060,1715862757.186,1715862757.246
0.059,1715862758.271,1715862758.330
0.070,1715862759.366,1715862759.436
0.052,1715862760.467,1715862760.518
0.045,1715862761.539,1715862761.584
0.060,1715862762.615,1715862762.675
0.047,1715862763.701,1715862763.748
0.031,1715862764.774,1715862764.805
0.061,1715862765.836,1715862765.897
0.052,1715862766.923,1715862766.975
1.056,1715862768.006,1715862769.062
1.074,1715862770.085,1715862771.159
0.036,1715862772.184,1715862772.221
0.063,1715862773.252,1715862773.314
0.041,1715862774.341,1715862774.382
0.036,1715862775.413,1715862775.449
0.071,1715862776.478,1715862776.549
0.036,1715862777.575,1715862777.611
1.046,1715862778.638,1715862779.684
0.040,1715862780.719,1715862780.759
0.045,1715862781.989,1715862782.034
0.274,1715862783.065,1715862783.339
0.063,1715862784.378,1715862784.442
0.047,1715862785.468,1715862785.515
0.044,1715862786.541,1715862786.585
1.059,1715862787.815,1715862788.874
0.042,1715862789.900,1715862789.941
0.038,1715862790.964,1715862791.002
0.051,1715862792.033,1715862792.084
0.046,1715862793.106,1715862793.152
0.051,1715862794.173,1715862794.224
0.041,1715862795.249,1715862795.290
1.076,1715862796.310,1715862797.386
2.069,1715862798.407,1715862800.476
0.277,1715862801.506,1715862801.783
1.096,1715862802.804,1715862803.900
0.056,1715862804.926,1715862804.982
0.036,1715862806.007,1715862806.043
0.051,1715862807.275,1715862807.326
0.068,1715862808.353,1715862808.421
0.051,1715862809.656,1715862809.708
0.063,1715862810.733,1715862810.796
0.032,1715862811.818,1715862811.850
0.063,1715862812.872,1715862812.936
0.079,1715862813.956,1715862814.035
0.035,1715862815.065,1715862815.101
0.046,1715862816.131,1715862816.177
2.055,1715862817.423,1715862819.479
0.048,1715862820.731,1715862820.779
0.041,1715862821.799,1715862821.841
1.094,1715862822.871,1715862823.965
0.051,1715862824.991,1715862825.042
0.057,1715862826.072,1715862826.129
0.051,1715862827.151,1715862827.202
0.046,1715862828.227,1715862828.273
0.031,1715862829.294,1715862829.325
0.074,1715862830.348,1715862830.423
0.067,1715862831.448,1715862831.515
0.049,1715862832.532,1715862832.581
0.055,1715862833.603,1715862833.659
0.063,1715862834.678,1715862834.741
0.115,1715862835.767,1715862835.882
0.285,1715862836.925,1715862837.210
0.056,1715862838.247,1715862838.304
1.910,1715862839.329,1715862841.240
0.059,1715862842.272,1715862842.330
0.078,1715862843.350,1715862843.428
0.047,1715862844.676,1715862844.723
0.304,1715862845.748,1715862846.052
1.051,1715862847.082,1715862848.133
0.047,1715862849.156,1715862849.203
1.088,1715862850.229,1715862851.316
1.055,1715862852.337,1715862853.393
0.076,1715862854.416,1715862854.491
0.358,1715862855.517,1715862855.875
0.071,1715862856.903,1715862856.975
0.192,1715862858.011,1715862858.203
0.053,1715862859.229,1715862859.282
1.063,1715862860.333,1715862861.396
0.059,1715862862.421,1715862862.480
1.077,1715862863.508,1715862864.586
0.065,1715862865.827,1715862865.892
0.051,1715862866.917,1715862866.968
0.137,1715862867.987,1715862868.124
0.434,1715862869.152,1715862869.586
0.062,1715862870.667,1715862870.729
0.042,1715862871.748,1715862871.790
0.066,1715862872.820,1715862872.886
1.065,1715862873.916,1715862874.980
0.031,1715862876.013,1715862876.044
0.041,1715862877.065,1715862877.106
1.090,1715862878.131,1715862879.220
0.038,1715862880.240,1715862880.277
0.266,1715862881.302,1715862881.568
0.041,1715862882.598,1715862882.639
0.057,1715862883.664,1715862883.720
0.079,1715862884.747,1715862884.826
0.045,1715862885.851,1715862885.895
0.053,1715862886.925,1715862886.978
0.062,1715862888.003,1715862888.065
0.050,1715862889.085,1715862889.135
1.094,1715862890.160,1715862891.254
0.087,1715862892.293,1715862892.380
0.275,1715862893.410,1715862893.685
0.230,1715862894.726,1715862894.956
0.128,1715862895.989,1715862896.117
1.065,1715862897.147,1715862898.212
0.045,1715862899.457,1715862899.501
0.063,1715862900.525,1715862900.588
6.886,1715862901.627,1715862908.513
0.057,1715862908.657,1715862908.715
0.047,1715862909.949,1715862909.996
0.055,1715862911.015,1715862911.070
0.046,1715862912.310,1715862912.356
0.067,1715862913.388,1715862913.455
1.076,1715862914.472,1715862915.548
0.058,1715862916.574,1715862916.632
0.037,1715862917.651,1715862917.688
0.065,1715862918.710,1715862918.774
1.063,1715862919.806,1715862920.869
0.075,1715862921.897,1715862921.972
0.042,1715862922.996,1715862923.038
0.042,1715862924.067,1715862924.109
0.062,1715862925.133,1715862925.196
0.272,1715862926.224,1715862926.496
0.059,1715862927.516,1715862927.575
0.072,1715862928.598,1715862928.670
0.032,1715862929.689,1715862929.721
0.079,1715862930.750,1715862930.829
0.275,1715862931.858,1715862932.132
0.074,1715862933.148,1715862933.222
0.037,1715862934.251,1715862934.288
0.265,1715862935.317,1715862935.582
0.057,1715862936.606,1715862936.663
1.062,1715862937.898,1715862938.960
0.060,1715862939.982,1715862940.041
1.046,1715862941.065,1715862942.112
1.074,1715862943.136,1715862944.210
0.059,1715862945.232,1715862945.291
0.038,1715862946.324,1715862946.362
0.275,1715862947.392,1715862947.667
0.032,1715862948.696,1715862948.728
0.054,1715862949.752,1715862949.805
0.033,1715862950.833,1715862950.865
