sequence,ack_time
347,1716471758.638
349,1716471760.641
350,1716471761.642
351,1716471762.643
352,1716471763.644
353,1716471764.646
354,1716471765.647
356,1716471767.650
357,1716471768.651
358,1716471769.652
359,1716471770.653
361,1716471772.655
362,1716471773.657
363,1716471774.663
364,1716471775.664
365,1716471776.666
366,1716471777.667
367,1716471778.669
368,1716471779.670
369,1716471780.671
370,1716471781.672
371,1716471782.674
372,1716471783.675
373,1716471784.676
374,1716471785.677
375,1716471786.678
376,1716471787.680
377,1716471788.681
378,1716471789.682
379,1716471790.684
380,1716471791.685
381,1716471792.686
382,1716471793.687
383,1716471794.689
384,1716471795.690
385,1716471796.691
386,1716471797.692
387,1716471798.693
388,1716471799.695
389,1716471800.696
391,1716471802.699
392,1716471803.700
393,1716471804.701
394,1716471805.702
395,1716471806.703
396,1716471807.705
397,1716471808.707
398,1716471809.714
399,1716471810.715
400,1716471811.717
401,1716471812.718
402,1716471813.719
403,1716471814.726
404,1716471815.727
405,1716471816.728
406,1716471817.729
407,1716471818.730
408,1716471819.732
409,1716471820.733
410,1716471821.734
411,1716471822.735
412,1716471823.737
413,1716471824.738
414,1716471825.739
415,1716471826.741
416,1716471827.742
417,1716471828.743
418,1716471829.745
420,1716471831.748
421,1716471832.749
422,1716471833.750
423,1716471834.751
424,1716471835.753
426,1716471837.755
427,1716471838.756
428,1716471839.758
429,1716471840.759
430,1716471841.760
431,1716471842.761
432,1716471843.762
433,1716471844.764
434,1716471845.765
435,1716471846.766
436,1716471847.768
437,1716471848.769
438,1716471849.770
439,1716471850.772
440,1716471851.772
441,1716471852.774
442,1716471853.775
443,1716471854.784
444,1716471855.784
445,1716471856.786
446,1716471857.787
447,1716471858.788
448,1716471859.791
450,1716471861.795
451,1716471862.796
452,1716471863.797
453,1716471864.798
455,1716471866.801
456,1716471867.802
457,1716471868.803
458,1716471869.807
459,1716471870.807
460,1716471871.808
461,1716471872.811
462,1716471873.812
463,1716471874.814
464,1716471875.815
465,1716471876.816
466,1716471877.818
467,1716471878.819
468,1716471879.820
469,1716471880.821
470,1716471881.823
471,1716471882.829
472,1716471883.830
473,1716471884.832
474,1716471885.834
475,1716471886.834
476,1716471887.837
477,1716471888.838
478,1716471889.840
479,1716471890.841
480,1716471891.843
482,1716471893.847
483,1716471894.848
484,1716471895.849
486,1716471897.852
487,1716471898.853
488,1716471899.855
489,1716471900.856
490,1716471901.858
491,1716471902.859
