rtt,send_time,ack_time
1.456,1715868248.307,1715868249.763
1.452,1715868250.769,1715868252.221
1.633,1715868253.222,1715868254.855
1.486,1715868255.856,1715868257.342
1.456,1715868258.343,1715868259.799
1.457,1715868260.800,1715868262.257
2.073,1715868263.258,1715868265.331
1.455,1715868266.332,1715868267.786
1.457,1715868268.787,1715868270.245
1.455,1715868271.245,1715868272.701
2.482,1715868273.702,1715868276.184
1.454,1715868277.184,1715868278.638
1.459,1715868279.639,1715868281.099
1.866,1715868282.099,1715868283.966
1.458,1715868284.967,1715868286.424
1.456,1715868287.425,1715868288.881
1.457,1715868289.881,1715868291.338
1.870,1715868292.339,1715868294.209
1.454,1715868295.210,1715868296.664
2.274,1715868297.671,1715868299.945
1.451,1715868300.946,1715868302.396
1.670,1715868303.397,1715868305.067
1.448,1715868306.068,1715868307.516
1.458,1715868308.517,1715868309.975
1.662,1715868310.976,1715868312.638
1.457,1715868313.639,1715868315.096
1.457,1715868316.097,1715868317.554
1.661,1715868318.554,1715868320.216
2.073,1715868321.216,1715868323.290
1.659,1715868324.290,1715868325.950
1.457,1715868326.951,1715868328.407
1.458,1715868329.408,1715868330.866
1.866,1715868331.867,1715868333.732
1.456,1715868334.733,1715868336.189
1.460,1715868337.189,1715868338.649
1.667,1715868339.650,1715868341.317
1.449,1715868342.318,1715868343.767
1.458,1715868344.768,1715868346.226
1.456,1715868347.226,1715868348.682
1.866,1715868349.683,1715868351.548
1.381,1715868352.549,1715868353.931
1.738,1715868354.932,1715868356.669
1.664,1715868357.670,1715868359.334
1.454,1715868360.334,1715868361.788
1.459,1715868362.789,1715868364.248
1.456,1715868365.249,1715868366.705
1.868,1715868367.706,1715868369.575
1.455,1715868370.575,1715868372.031
1.456,1715868373.031,1715868374.487
1.457,1715868375.488,1715868376.946
2.072,1715868377.946,1715868380.018
1.381,1715868381.019,1715868382.400
1.533,1715868383.401,1715868384.934
1.868,1715868385.934,1715868387.802
1.449,1715868388.808,1715868390.257
1.455,1715868391.258,1715868392.713
1.460,1715868393.714,1715868395.174
1.868,1715868396.175,1715868398.042
1.456,1715868399.043,1715868400.499
1.455,1715868401.500,1715868402.955
1.457,1715868403.956,1715868405.413
1.871,1715868406.414,1715868408.284
1.451,1715868409.285,1715868410.737
1.455,1715868411.737,1715868413.193
1.667,1715868414.193,1715868415.861
1.454,1715868416.862,1715868418.315
1.458,1715868419.316,1715868420.773
1.454,1715868421.774,1715868423.228
1.871,1715868424.229,1715868426.100
1.457,1715868427.101,1715868428.558
1.455,1715868429.559,1715868431.014
1.457,1715868432.014,1715868433.471
1.867,1715868434.472,1715868436.339
1.458,1715868437.340,1715868438.798
1.452,1715868439.798,1715868441.250
1.666,1715868442.251,1715868443.918
1.452,1715868444.918,1715868446.371
1.459,1715868447.371,1715868448.830
1.455,1715868449.831,1715868451.286
1.870,1715868452.287,1715868454.156
1.457,1715868455.157,1715868456.614
1.457,1715868457.614,1715868459.072
1.661,1715868460.072,1715868461.734
1.454,1715868462.734,1715868464.188
