sender_id,sequence,ack_time
1,289,1717669311.333
1,290,1717669312.325
1,291,1717669313.328
1,292,1717669314.322
1,293,1717669315.355
1,294,1717669316.334
1,295,1717669317.338
1,296,1717669318.420
1,297,1717669319.346
1,298,1717669320.359
1,299,1717669321.354
1,300,1717669322.351
1,301,1717669323.358
1,302,1717669324.354
1,303,1717669325.360
1,304,1717669326.376
1,305,1717669327.359
1,306,1717669328.359
1,307,1717669329.367
1,308,1717669330.375
1,309,1717669331.370
1,310,1717669332.367
1,311,1717669333.385
1,312,1717669334.378
1,313,1717669335.385
1,314,1717669336.387
1,315,1717669337.393
1,316,1717669338.384
1,317,1717669339.388
1,318,1717669340.392
1,319,1717669341.393
1,320,1717669342.396
1,321,1717669343.400
1,322,1717669344.408
1,323,1717669345.406
1,324,1717669346.398
1,325,1717669347.410
1,326,1717669348.408
1,327,1717669349.404
1,328,1717669350.411
1,329,1717669351.425
1,330,1717669352.417
1,331,1717669353.428
1,332,1717669354.426
1,333,1717669355.432
1,334,1717669356.439
1,335,1717669357.443
1,336,1717669358.424
1,337,1717669359.431
1,338,1717669360.435
1,339,1717669361.441
1,340,1717669362.447
1,341,1717669363.440
1,342,1717669364.446
1,343,1717669365.451
1,344,1717669366.449
1,345,1717669367.452
1,346,1717669368.457
1,347,1717669369.456
1,348,1717669370.449
1,349,1717669371.465
1,350,1717669372.464
1,351,1717669373.463
1,352,1717669374.470
1,353,1717669375.476
1,354,1717669376.474
1,355,1717669377.472
1,356,1717669378.470
1,357,1717669379.480
1,358,1717669380.472
1,359,1717669381.479
1,360,1717669382.478
1,361,1717669383.490
1,362,1717669384.487
1,363,1717669385.495
1,364,1717669386.489
1,365,1717669387.487
1,366,1717669388.497
1,367,1717669389.496
1,368,1717669390.494
1,369,1717669391.503
1,370,1717669392.505
1,371,1717669393.502
1,372,1717669394.514
1,373,1717669395.519
1,374,1717669396.520
1,375,1717669397.509
1,376,1717669398.510
1,377,1717669399.522
1,378,1717669400.520
1,379,1717669401.529
1,380,1717669402.526
1,381,1717669403.532
1,382,1717669404.528
1,383,1717669405.533
1,384,1717669406.540
1,385,1717669407.535
1,386,1717669408.545
1,387,1717669409.547
1,388,1717669410.543
1,389,1717669411.549
1,390,1717669412.560
1,391,1717669413.561
1,392,1717669414.559
1,393,1717669415.565
1,394,1717669416.554
1,395,1717669417.555
1,396,1717669418.566
1,397,1717669419.559
1,398,1717669420.580
1,399,1717669421.569
1,400,1717669422.571
1,401,1717669423.575
1,402,1717669424.576
1,403,1717669425.579
1,404,1717669426.582
1,405,1717669427.585
1,406,1717669428.593
1,407,1717669429.589
1,408,1717669430.597
1,409,1717669431.595
1,410,1717669432.607
1,411,1717669433.592
1,412,1717669434.596
1,413,1717669435.602
1,414,1717669436.610
1,415,1717669437.613
1,416,1717669438.614
1,417,1717669439.612
1,418,1717669440.604
1,419,1717669441.628
1,420,1717669442.623
1,421,1717669443.618
1,422,1717669444.618
1,423,1717669445.623
1,424,1717669446.626
1,425,1717669447.635
1,426,1717669448.658
1,427,1717669449.633
1,428,1717669450.653
1,429,1717669451.639
1,430,1717669452.663
1,431,1717669453.721
1,432,1717669454.653
1,433,1717669455.633
1,434,1717669456.655
1,435,1717669457.647
1,436,1717669458.652
1,437,1717669459.656
1,438,1717669460.660
1,439,1717669461.667
1,440,1717669462.670
1,441,1717669463.665
1,442,1717669464.668
1,443,1717669465.716
1,444,1717669466.704
1,445,1717669467.699
1,446,1717669468.683
1,447,1717669469.682
1,448,1717669470.680
1,449,1717669471.682
1,450,1717669472.715
1,451,1717669473.691
1,452,1717669474.681
1,453,1717669475.695
1,454,1717669476.700
1,455,1717669477.706
1,456,1717669478.762
1,457,1717669479.745
1,458,1717669480.696
1,459,1717669481.705
1,460,1717669482.717
1,461,1717669483.774
1,462,1717669484.790
1,463,1717669485.850
1,464,1717669486.716
1,465,1717669487.731
1,466,1717669488.729
1,467,1717669489.733
1,468,1717669490.745
1,469,1717669491.739
1,470,1717669492.730
1,471,1717669493.729
1,472,1717669494.743
1,473,1717669495.736
1,474,1717669496.749
1,475,1717669497.751
1,476,1717669498.751
1,477,1717669499.736
1,478,1717669500.744
1,479,1717669501.761
1,480,1717669502.768
1,481,1717669503.761
1,482,1717669504.763
1,483,1717669505.766
1,484,1717669506.785
1,485,1717669507.752
1,486,1717669508.777
1,487,1717669509.769
1,488,1717669510.788
1,489,1717669511.785
1,490,1717669512.782
1,491,1717669513.780
1,492,1717669514.786
1,493,1717669515.783
1,494,1717669516.789
1,495,1717669517.800
1,496,1717669518.791
1,497,1717669519.805
1,498,1717669520.792
1,499,1717669521.801
1,500,1717669522.805
1,501,1717669523.805
1,502,1717669524.813
1,503,1717669525.815
1,504,1717669526.817
1,505,1717669527.815
1,506,1717669528.821
1,507,1717669529.821
1,508,1717669530.825
1,509,1717669531.824
1,510,1717669532.826
1,511,1717669533.829
1,512,1717669534.836
1,513,1717669535.820
1,514,1717669536.837
1,515,1717669537.841
1,516,1717669538.851
1,517,1717669539.847
1,518,1717669540.863
1,519,1717669541.851
1,520,1717669542.854
1,521,1717669543.846
1,522,1717669544.857
1,523,1717669545.850
1,524,1717669546.893
1,525,1717669547.893
1,526,1717669548.867
1,527,1717669549.862
1,528,1717669550.863
1,529,1717669551.862
1,530,1717669553.370
1,531,1717669553.942
1,532,1717669555.108
1,533,1717669556.074
1,534,1717669556.883
1,535,1717669557.886
1,536,1717669558.894
1,537,1717669559.883
1,538,1717669560.902
1,539,1717669561.895
1,540,1717669562.893
1,541,1717669563.888
1,542,1717669564.901
1,543,1717669565.898
1,544,1717669566.894
1,545,1717669567.901
1,546,1717669568.922
1,547,1717669569.904
1,548,1717669570.917
1,549,1717669571.918
1,550,1717669572.916
1,551,1717669573.927
1,552,1717669574.923
1,553,1717669575.915
1,554,1717669576.920
1,555,1717669577.918
1,556,1717669578.928
1,557,1717669579.921
1,558,1717669580.928
1,559,1717669581.932
1,560,1717669582.940
1,561,1717669583.947
1,562,1717669584.944
1,563,1717669585.944
1,564,1717669586.946
1,565,1717669587.943
1,566,1717669588.943
1,567,1717669589.949
1,568,1717669590.964
1,569,1717669591.970
1,570,1717669592.966
1,571,1717669593.965
1,572,1717669594.965
1,573,1717669595.964
1,574,1717669596.968
1,575,1717669597.974
1,576,1717669598.969
1,577,1717669599.982
1,578,1717669600.985
1,579,1717669601.984
1,580,1717669602.988
1,581,1717669603.979
1,582,1717669604.991
1,583,1717669605.985
1,584,1717669606.994
1,585,1717669607.995
1,586,1717669608.999
