delay,send_time,receive_time,data_length
-0.000,1716456826.830,1716456826.830,1000
-0.007,1716456827.834,1716456827.827,1000
-0.004,1716456828.837,1716456828.833,1000
-0.006,1716456829.841,1716456829.835,1000
-0.008,1716456830.845,1716456830.837,1000
-0.005,1716456831.848,1716456831.843,1000
-0.003,1716456832.852,1716456832.849,1000
-0.005,1716456833.856,1716456833.851,1000
-0.007,1716456834.859,1716456834.852,1000
-0.005,1716456835.863,1716456835.858,1000
-0.008,1716456836.867,1716456836.859,1000
-0.004,1716456837.871,1716456837.867,1000
-0.006,1716456838.874,1716456838.868,1000
-0.012,1716456839.878,1716456839.866,1000
-0.001,1716456840.882,1716456840.881,1000
-0.009,1716456841.885,1716456841.876,1000
-0.003,1716456842.889,1716456842.886,1000
-0.006,1716456843.893,1716456843.887,1000
-0.010,1716456844.897,1716456844.887,1000
-0.008,1716456845.900,1716456845.892,1000
-0.009,1716456846.904,1716456846.895,1000
-0.006,1716456847.908,1716456847.902,1000
-0.003,1716456848.911,1716456848.908,1000
-0.004,1716456849.915,1716456849.911,1000
-0.010,1716456850.919,1716456850.909,1000
-0.012,1716456851.923,1716456851.911,1000
-0.016,1716456852.926,1716456852.910,1000
-0.003,1716456853.930,1716456853.927,1000
-0.008,1716456854.934,1716456854.926,1000
-0.007,1716456855.937,1716456855.930,1000
-0.013,1716456856.941,1716456856.928,1000
-0.018,1716456857.945,1716456857.927,1000
-0.010,1716456858.949,1716456858.939,1000
-0.010,1716456859.952,1716456859.942,1000
-0.010,1716456860.956,1716456860.946,1000
-0.019,1716456861.960,1716456861.941,1000
-0.015,1716456862.963,1716456862.948,1000
-0.012,1716456863.967,1716456863.955,1000
-0.011,1716456864.971,1716456864.960,1000
-0.010,1716456865.974,1716456865.964,1000
-0.012,1716456866.978,1716456866.966,1000
-0.012,1716456867.982,1716456867.970,1000
-0.013,1716456868.985,1716456868.972,1000
-0.018,1716456869.989,1716456869.971,1000
-0.015,1716456870.993,1716456870.978,1000
-0.014,1716456871.996,1716456871.982,1000
-0.014,1716456873.000,1716456872.986,1000
-0.012,1716456874.004,1716456873.992,1000
-0.020,1716456875.007,1716456874.987,1000
-0.015,1716456876.011,1716456875.996,1000
-0.026,1716456877.015,1716456876.989,1000
-0.021,1716456878.019,1716456877.998,1000
-0.017,1716456879.022,1716456879.005,1000
-0.021,1716456880.026,1716456880.005,1000
-0.025,1716456881.030,1716456881.005,1000
-0.024,1716456882.034,1716456882.010,1000
-0.022,1716456883.037,1716456883.015,1000
-0.019,1716456884.041,1716456884.022,1000
-0.027,1716456885.045,1716456885.018,1000
-0.027,1716456886.049,1716456886.022,1000
-0.023,1716456887.052,1716456887.029,1000
-0.030,1716456888.056,1716456888.026,1000
-0.025,1716456889.060,1716456889.035,1000
-0.030,1716456890.064,1716456890.034,1000
-0.029,1716456891.067,1716456891.038,1000
-0.029,1716456892.071,1716456892.042,1000
-0.023,1716456893.075,1716456893.052,1000
-0.029,1716456894.079,1716456894.050,1000
-0.031,1716456895.083,1716456895.052,1000
-0.024,1716456896.086,1716456896.062,1000
-0.027,1716456897.090,1716456897.063,1000
-0.028,1716456898.094,1716456898.066,1000
-0.030,1716456899.098,1716456899.068,1000
-0.027,1716456900.101,1716456900.074,1000
-0.032,1716456901.105,1716456901.073,1000
-0.032,1716456902.109,1716456902.077,1000
-0.029,1716456903.112,1716456903.083,1000
-0.030,1716456904.116,1716456904.086,1000
-0.030,1716456905.120,1716456905.090,1000
-0.026,1716456906.123,1716456906.097,1000
-0.033,1716456907.127,1716456907.094,1000
-0.035,1716456908.131,1716456908.096,1000
-0.029,1716456909.134,1716456909.105,1000
-0.033,1716456910.138,1716456910.105,1000
-0.031,1716456911.142,1716456911.111,1000
-0.034,1716456912.145,1716456912.111,1000
-0.028,1716456913.149,1716456913.121,1000
-0.027,1716456914.153,1716456914.126,1000
-0.033,1716456915.157,1716456915.124,1000
-0.032,1716456916.160,1716456916.128,1000
-0.033,1716456917.164,1716456917.131,1000
-0.029,1716456918.168,1716456918.139,1000
-0.027,1716456919.172,1716456919.145,1000
-0.028,1716456920.175,1716456920.147,1000
-0.033,1716456921.179,1716456921.146,1000
-0.033,1716456922.183,1716456922.150,1000
-0.034,1716456923.186,1716456923.152,1000
-0.027,1716456924.190,1716456924.163,1000
-0.028,1716456925.193,1716456925.165,1000
-0.029,1716456926.197,1716456926.168,1000
-0.034,1716456927.201,1716456927.167,1000
-0.033,1716456928.204,1716456928.171,1000
-0.028,1716456929.208,1716456929.180,1000
-0.034,1716456930.212,1716456930.178,1000
-0.029,1716456931.216,1716456931.187,1000
-0.034,1716456932.219,1716456932.185,1000
-0.033,1716456933.223,1716456933.190,1000
-0.030,1716456934.227,1716456934.197,1000
-0.033,1716456935.230,1716456935.197,1000
-0.031,1716456936.234,1716456936.203,1000
-0.034,1716456937.238,1716456937.204,1000
-0.034,1716456938.241,1716456938.207,1000
-0.028,1716456939.245,1716456939.217,1000
-0.031,1716456940.249,1716456940.218,1000
-0.035,1716456941.253,1716456941.218,1000
-0.034,1716456942.256,1716456942.222,1000
-0.034,1716456943.260,1716456943.226,1000
-0.033,1716456944.264,1716456944.231,1000
-0.030,1716456945.267,1716456945.237,1000
-0.030,1716456946.271,1716456946.241,1000
-0.033,1716456947.275,1716456947.242,1000
-0.035,1716456948.278,1716456948.243,1000
-0.033,1716456949.282,1716456949.249,1000
-0.030,1716456950.286,1716456950.256,1000
-0.030,1716456951.289,1716456951.259,1000
-0.029,1716456952.293,1716456952.264,1000
-0.034,1716456953.297,1716456953.263,1000
-0.030,1716456954.300,1716456954.270,1000
-0.035,1716456955.304,1716456955.269,1000
-0.035,1716456956.308,1716456956.273,1000
-0.031,1716456957.312,1716456957.281,1000
-0.029,1716456958.315,1716456958.286,1000
-0.032,1716456959.319,1716456959.287,1000
-0.036,1716456960.323,1716456960.287,1000
-0.037,1716456961.327,1716456961.290,1000
-0.026,1716456962.330,1716456962.304,1000
-0.031,1716456963.334,1716456963.303,1000
-0.030,1716456964.338,1716456964.308,1000
-0.031,1716456965.341,1716456965.310,1000
-0.031,1716456966.345,1716456966.314,1000
-0.032,1716456967.349,1716456967.317,1000
-0.036,1716456968.353,1716456968.317,1000
-0.030,1716456969.356,1716456969.326,1000
-0.032,1716456970.360,1716456970.328,1000
-0.037,1716456971.364,1716456971.327,1000
-0.036,1716456972.367,1716456972.331,1000
-0.036,1716456973.371,1716456973.335,1000
-0.035,1716456974.375,1716456974.340,1000
-0.031,1716456975.378,1716456975.347,1000
-0.032,1716456976.382,1716456976.350,1000
-0.026,1716456977.386,1716456977.360,1000
-0.036,1716456978.389,1716456978.353,1000
-0.035,1716456979.393,1716456979.358,1000
-0.039,1716456980.397,1716456980.358,1000
-0.034,1716456981.400,1716456981.366,1000
-0.039,1716456982.404,1716456982.365,1000
-0.034,1716456983.408,1716456983.374,1000
-0.036,1716456984.412,1716456984.376,1000
-0.032,1716456985.415,1716456985.383,1000
-0.032,1716456986.419,1716456986.387,1000
-0.028,1716456987.422,1716456987.394,1000
-0.038,1716456988.426,1716456988.388,1000
-0.036,1716456989.430,1716456989.394,1000
-0.039,1716456990.434,1716456990.395,1000
-0.034,1716456991.437,1716456991.403,1000
-0.031,1716456992.441,1716456992.410,1000
-0.039,1716456993.445,1716456993.406,1000
-0.038,1716456994.448,1716456994.410,1000
-0.038,1716456995.452,1716456995.414,1000
-0.034,1716456996.456,1716456996.422,1000
-0.030,1716456997.460,1716456997.430,1000
-0.037,1716456998.463,1716456998.426,1000
-0.033,1716456999.467,1716456999.434,1000
-0.040,1716457000.471,1716457000.431,1000
-0.034,1716457001.475,1716457001.441,1000
-0.037,1716457002.478,1716457002.441,1000
-0.035,1716457003.482,1716457003.447,1000
-0.032,1716457004.486,1716457004.454,1000
-0.032,1716457005.490,1716457005.458,1000
-0.040,1716457006.493,1716457006.453,1000
-0.035,1716457007.497,1716457007.462,1000
-0.041,1716457008.501,1716457008.460,1000
-0.036,1716457009.504,1716457009.468,1000
-0.035,1716457010.508,1716457010.473,1000
-0.036,1716457011.512,1716457011.476,1000
-0.037,1716457012.515,1716457012.478,1000
-0.035,1716457013.519,1716457013.484,1000
-0.036,1716457014.523,1716457014.487,1000
-0.038,1716457015.527,1716457015.489,1000
-0.036,1716457016.530,1716457016.494,1000
-0.035,1716457017.534,1716457017.499,1000
-0.043,1716457018.538,1716457018.495,1000
-0.036,1716457019.541,1716457019.505,1000
-0.037,1716457020.545,1716457020.508,1000
-0.037,1716457021.549,1716457021.512,1000
-0.036,1716457022.552,1716457022.516,1000
-0.038,1716457023.556,1716457023.518,1000
-0.043,1716457024.560,1716457024.517,1000
-0.042,1716457025.563,1716457025.521,1000
-0.044,1716457026.567,1716457026.523,1000
-0.037,1716457027.571,1716457027.534,1000
-0.044,1716457028.574,1716457028.530,1000
-0.040,1716457029.578,1716457029.538,1000
-0.043,1716457030.582,1716457030.539,1000
-0.039,1716457031.586,1716457031.547,1000
-0.043,1716457032.589,1716457032.546,1000
-0.041,1716457033.593,1716457033.552,1000
-0.035,1716457034.596,1716457034.561,1000
-0.041,1716457035.600,1716457035.559,1000
-0.045,1716457036.604,1716457036.559,1000
-0.045,1716457037.607,1716457037.562,1000
-0.044,1716457038.611,1716457038.567,1000
-0.035,1716457039.615,1716457039.580,1000
-0.040,1716457040.619,1716457040.579,1000
-0.041,1716457041.622,1716457041.581,1000
-0.045,1716457042.626,1716457042.581,1000
-0.046,1716457043.630,1716457043.584,1000
-0.045,1716457044.633,1716457044.588,1000
-0.041,1716457045.637,1716457045.596,1000
-0.047,1716457046.641,1716457046.594,1000
-0.041,1716457047.645,1716457047.604,1000
-0.047,1716457048.648,1716457048.601,1000
-0.041,1716457049.652,1716457049.611,1000
-0.047,1716457050.656,1716457050.609,1000
-0.042,1716457051.659,1716457051.617,1000
-0.048,1716457052.663,1716457052.615,1000
-0.042,1716457053.667,1716457053.625,1000
-0.048,1716457054.671,1716457054.623,1000
-0.047,1716457055.674,1716457055.627,1000
-0.048,1716457056.678,1716457056.630,1000
-0.044,1716457057.682,1716457057.638,1000
-0.045,1716457058.685,1716457058.640,1000
-0.041,1716457059.689,1716457059.648,1000
-0.048,1716457060.693,1716457060.645,1000
-0.054,1716457061.697,1716457061.643,1000
-0.050,1716457062.701,1716457062.651,1000
-0.045,1716457063.704,1716457063.659,1000
-0.047,1716457064.708,1716457064.661,1000
-0.051,1716457065.712,1716457065.661,1000
-0.039,1716457066.715,1716457066.676,1000
-0.050,1716457067.719,1716457067.669,1000
-0.051,1716457068.723,1716457068.672,1000
-0.047,1716457069.726,1716457069.679,1000
-0.047,1716457070.730,1716457070.683,1000
-0.047,1716457071.734,1716457071.687,1000
-0.051,1716457072.737,1716457072.686,1000
-0.052,1716457073.741,1716457073.689,1000
-0.053,1716457074.745,1716457074.692,1000
-0.049,1716457075.749,1716457075.700,1000
-0.049,1716457076.752,1716457076.703,1000
-0.048,1716457077.756,1716457077.708,1000
-0.047,1716457078.760,1716457078.713,1000
-0.051,1716457079.763,1716457079.712,1000
-0.054,1716457080.767,1716457080.713,1000
-0.048,1716457081.771,1716457081.723,1000
-0.047,1716457082.775,1716457082.728,1000
-0.048,1716457083.778,1716457083.730,1000
-0.054,1716457084.782,1716457084.728,1000
-0.054,1716457085.786,1716457085.732,1000
-0.057,1716457086.790,1716457086.733,1000
