"No.","Time","Source","Destination","Protocol","Length","Info"
"12770","1254.066386129","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=1250)"
"12771","1254.066841025","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"12772","1254.072623372","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22686 Ack=22656 Win=32128 Len=0 TSval=2890412828 TSecr=855098286"
"12773","1254.075537123","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20173 Ack=25165 Win=32128 Len=0 TSval=59485692 TSecr=3421147890"
"12774","1254.130078455","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1250) [res]"
"12775","1254.131192518","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=1250)"
"12776","1254.131592466","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"12777","1254.137010438","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20190 Ack=25169 Win=32128 Len=0 TSval=59485753 TSecr=3421147955"
"12778","1254.138183563","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22686 Ack=22671 Win=32128 Len=0 TSval=2890412894 TSecr=855098351"
"12779","1255.070035834","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1251) [topic]"
"12780","1255.071185730","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=1251)"
"12781","1255.071596616","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"12782","1255.076737504","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22705 Ack=22675 Win=32128 Len=0 TSval=2890413832 TSecr=855099291"
"12783","1255.081159746","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20190 Ack=25186 Win=32128 Len=0 TSval=59486698 TSecr=3421148895"
"12784","1255.132449981","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1251) [res]"
"12785","1255.133683420","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=1251)"
"12786","1255.134164670","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"12787","1255.139793735","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20207 Ack=25190 Win=32128 Len=0 TSval=59486756 TSecr=3421148957"
"12788","1255.147648010","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22705 Ack=22690 Win=32128 Len=0 TSval=2890413899 TSecr=855099354"
"12789","1256.072390371","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1252) [topic]"
"12790","1256.073611465","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=1252)"
"12791","1256.074065632","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"12792","1256.079612249","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22724 Ack=22694 Win=32128 Len=0 TSval=2890414835 TSecr=855100293"
"12793","1256.082747095","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20207 Ack=25207 Win=32128 Len=0 TSval=59487699 TSecr=3421149898"
"12794","1256.137622592","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1252) [res]"
"12795","1256.138830249","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=1252)"
"12796","1256.139219520","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"12797","1256.144205200","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20224 Ack=25211 Win=32128 Len=0 TSval=59487761 TSecr=3421149962"
"12798","1256.148105045","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22724 Ack=22709 Win=32128 Len=0 TSval=2890414904 TSecr=855100359"
"12799","1257.072536354","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1253) [topic]"
"12800","1257.073763855","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=1253)"
"12801","1257.074305626","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"12802","1257.083940006","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22743 Ack=22713 Win=32128 Len=0 TSval=2890415837 TSecr=855101293"
"12803","1257.085042610","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20224 Ack=25228 Win=32128 Len=0 TSval=59488702 TSecr=3421150898"
"12804","1257.139667690","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1253) [res]"
"12805","1257.140945295","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=1253)"
"12806","1257.141625868","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"12807","1257.145754256","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20241 Ack=25232 Win=32128 Len=0 TSval=59488762 TSecr=3421150964"
"12808","1257.150778060","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22743 Ack=22728 Win=32128 Len=0 TSval=2890415906 TSecr=855101361"
"12809","1258.075298317","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1254) [topic]"
"12810","1258.076447641","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=1254)"
"12811","1258.076987745","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"12812","1258.083702228","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22762 Ack=22732 Win=32128 Len=0 TSval=2890416838 TSecr=855102296"
"12813","1258.088322751","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20241 Ack=25249 Win=32128 Len=0 TSval=59489705 TSecr=3421151900"
"12814","1258.142323194","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1254) [res]"
"12815","1258.143375382","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=1254)"
"12816","1258.143828351","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"12817","1258.148632937","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20258 Ack=25253 Win=32128 Len=0 TSval=59489765 TSecr=3421151967"
"12818","1258.148843198","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22762 Ack=22747 Win=32128 Len=0 TSval=2890416905 TSecr=855102363"
"12819","1259.077260790","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1255) [topic]"
"12820","1259.078446259","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=1255)"
"12821","1259.078964020","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"12822","1259.083366783","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=22781 Ack=22751 Win=32128 Len=0 TSval=2890417839 TSecr=855103298"
"12823","1259.087493972","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=20258 Ack=25270 Win=32128 Len=0 TSval=59490704 TSecr=3421152903"
"12824","1259.144432021","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1255) [res]"
"12825","1259.145615042","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=1255)"
