"No.","Time","Source","Destination","Protocol","Length","Info"
"22236","1355.068055048","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30032 Ack=30002 Win=32128 Len=0 TSval=2894192319 TSecr=858877708"
"22237","1355.073005589","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27328 Ack=32715 Win=32128 Len=0 TSval=63265158 TSecr=3424927367"
"22238","1355.075718674","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30032 Ack=30017 Win=32128 Len=0 TSval=2894192333 TSecr=858877763"
"22239","1355.083854176","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1352)"
"22240","1355.303074207","192.168.105.71","192.168.105.117","TCP","70","[TCP Retransmission] 38737  >  1883 [PSH, ACK] Seq=27328 Ack=32715 Win=32128 Len=4 TSval=63265382 TSecr=3424927367"
"22241","1355.303278167","192.168.105.117","192.168.105.71","TCP","78","[TCP Previous segment not captured] 1883  >  38737 [ACK] Seq=32719 Ack=27332 Win=31872 Len=0 TSval=3424927602 TSecr=63265382 SLE=27328 SRE=27332"
"22242","1355.309573974","192.168.105.117","192.168.105.71","TCP","70","[TCP Out-Of-Order] 1883  >  38737 [PSH, ACK] Seq=32715 Ack=27332 Win=31872 Len=4 TSval=3424927609 TSecr=63265382"
"22243","1355.366385618","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27332 Ack=32719 Win=32128 Len=0 TSval=63265446 TSecr=3424927609"
"22244","1356.009648409","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1353) [topic]"
"22245","1356.010835497","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=1353)"
"22246","1356.011317322","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"22247","1356.021253458","192.168.105.183","192.168.105.117","MQTT","70","Publish Release (id=1353)"
"22248","1356.024021802","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27332 Ack=32736 Win=32128 Len=0 TSval=63266109 TSecr=3424928310"
"22249","1356.072540443","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1353) [res]"
"22250","1356.072789194","192.168.105.117","192.168.105.71","TCP","66","1883  >  38737 [ACK] Seq=32736 Ack=27349 Win=31872 Len=0 TSval=3424928372 TSecr=63266152"
"22251","1356.073891646","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1353)"
"22252","1356.074373732","192.168.105.117","192.168.105.183","MQTT","81","[TCP Previous segment not captured] , Publish Message [res]"
"22253","1356.080050630","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27349 Ack=32740 Win=32128 Len=0 TSval=63266163 TSecr=3424928373"
"22254","1356.090904790","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1353)"
"22255","1356.091109791","192.168.105.183","192.168.105.117","TCP","78","[TCP Dup ACK 22247#1] 50791  >  1883 [ACK] Seq=30055 Ack=30021 Win=32128 Len=0 TSval=2894193343 TSecr=858878706 SLE=30025 SRE=30040"
"22256","1356.091294740","192.168.105.117","192.168.105.183","TCP","70","[TCP Retransmission] 1883  >  50791 [PSH, ACK] Seq=30021 Ack=30055 Win=31872 Len=4 TSval=858878786 TSecr=2894193343"
"22257","1356.091636981","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=1353)"
"22258","1356.317700372","192.168.105.117","192.168.105.183","TCP","70","[TCP Retransmission] 1883  >  50791 [PSH, ACK] Seq=30021 Ack=30055 Win=31872 Len=4 TSval=858879013 TSecr=2894193343"
"22259","1356.317741049","192.168.105.117","192.168.105.71","TCP","70","[TCP Retransmission] 1883  >  38737 [PSH, ACK] Seq=32740 Ack=27353 Win=31872 Len=4 TSval=3424928617 TSecr=63266174"
"22260","1356.327112391","192.168.105.183","192.168.105.117","TCP","78","50791  >  1883 [ACK] Seq=30055 Ack=30040 Win=32128 Len=0 TSval=2894193585 TSecr=858878786 SLE=30021 SRE=30025"
"22261","1356.328710262","192.168.105.71","192.168.105.117","TCP","78","38737  >  1883 [ACK] Seq=27353 Ack=32744 Win=32128 Len=0 TSval=63266413 TSecr=3424928617 SLE=32740 SRE=32744"
"22262","1357.013873015","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1354) [topic]"
"22263","1357.015058697","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=1354)"
"22264","1357.015554585","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
