"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.105.174","224.0.0.251","MDNS","82","Standard query 0x026d PTR _quickshare._tcp.local, ""QM"" question"
"2","0.204996027","fe80::a081:24ff:fe63:2646","ff02::fb","MDNS","102","Standard query 0x026d PTR _quickshare._tcp.local, ""QM"" question"
"3","1.228170186","RaspberryPiF_99:32:b2","Broadcast","ARP","42","Who has 192.168.105.117? Tell 192.168.105.71"
"4","1.228254591","RaspberryPiF_23:9f:e9","RaspberryPiF_99:32:b2","ARP","42","192.168.105.117 is at b8:27:eb:23:9f:e9"
"5","1.238671412","192.168.105.71","192.168.105.117","TCP","74","52705  >  1883 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3404570191 TSecr=0 WS=128"
"6","1.239073755","192.168.105.117","192.168.105.71","TCP","74","1883  >  52705 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=259602635 TSecr=3404570191 WS=128"
"7","1.244424186","192.168.105.71","192.168.105.117","TCP","66","52705  >  1883 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3404570588 TSecr=259602635"
"8","1.244774771","192.168.105.71","192.168.105.117","MQTT","80","Connect Command"
"9","1.244908018","192.168.105.117","192.168.105.71","TCP","66","1883  >  52705 [ACK] Seq=1 Ack=15 Win=31872 Len=0 TSval=259602641 TSecr=3404570589"
"10","1.248999662","192.168.105.117","192.168.105.71","MQTT","70","Connect Ack"
"11","1.256590759","192.168.105.71","192.168.105.117","TCP","66","[TCP Previous segment not captured] 52705  >  1883 [ACK] Seq=27 Ack=5 Win=32128 Len=0 TSval=3404570600 TSecr=259602645"
"12","2.227517275","RaspberryPiF_7e:89:e6","Broadcast","ARP","42","Who has 192.168.105.117? Tell 192.168.105.183"
"13","2.227599285","RaspberryPiF_23:9f:e9","RaspberryPiF_7e:89:e6","ARP","42","192.168.105.117 is at b8:27:eb:23:9f:e9"
"14","3.244817680","192.168.105.183","192.168.105.117","TCP","74","50369  >  1883 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3256276782 TSecr=0 WS=128"
"15","3.245205912","192.168.105.117","192.168.105.183","TCP","74","1883  >  50369 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4176506696 TSecr=3256276782 WS=128"
"16","3.250968004","192.168.105.183","192.168.105.117","TCP","66","50369  >  1883 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3256276795 TSecr=4176506696"
"17","3.369661179","192.168.105.71","192.168.105.117","TCP","78","[TCP Retransmission] 52705  >  1883 [PSH, ACK] Seq=15 Ack=5 Win=32128 Len=12 TSval=3404572707 TSecr=259602645"
"18","3.371806765","192.168.105.117","192.168.105.71","MQTT","71","Subscribe Ack (id=1)"
"19","3.386841388","192.168.105.71","192.168.105.117","TCP","66","52705  >  1883 [ACK] Seq=27 Ack=10 Win=32128 Len=0 TSval=3404572730 TSecr=259604767"
"20","3.475912701","192.168.105.183","192.168.105.117","MQTT","92","[TCP Previous segment not captured] , Subscribe Request (id=1) [res], Publish Message (id=2) [topic]"
"21","4.142282958","192.168.105.183","192.168.105.117","TCP","106","[TCP Retransmission] 50369  >  1883 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=40 TSval=3256277678 TSecr=4176506696"
"22","4.142598969","192.168.105.117","192.168.105.183","TCP","78","1883  >  50369 [ACK] Seq=1 Ack=41 Win=31872 Len=0 TSval=4176507593 TSecr=3256277678 SLE=15 SRE=41"
"23","4.147003967","192.168.105.117","192.168.105.71","MQTT","80","Publish Message [topic]"
"24","4.147080249","192.168.105.117","192.168.105.183","MQTT","70","Connect Ack"
"25","4.147363925","192.168.105.117","192.168.105.183","MQTT","71","Subscribe Ack (id=1)"
"26","4.154591104","192.168.105.183","192.168.105.117","TCP","66","50369  >  1883 [ACK] Seq=41 Ack=10 Win=32128 Len=0 TSval=3256277699 TSecr=4176507598"
"27","4.156479205","192.168.105.71","192.168.105.117","TCP","66","52705  >  1883 [ACK] Seq=27 Ack=24 Win=32128 Len=0 TSval=3404573501 TSecr=259605543"
