rtt,send_time,send_time,ack_time
0.001,1716456844.897, 1716456844.897
0.001,1716456845.900, 1716456845.901
0.001,1716456846.904, 1716456846.905
0.001,1716456847.908, 1716456847.908
0.001,1716456848.911, 1716456848.912
0.001,1716456849.915, 1716456849.916
0.001,1716456850.919, 1716456850.920
0.001,1716456851.923, 1716456851.923
0.001,1716456852.926, 1716456852.927
0.001,1716456853.930, 1716456853.931
0.001,1716456854.934, 1716456854.934
0.001,1716456855.937, 1716456855.938
0.001,1716456856.941, 1716456856.942
0.001,1716456857.945, 1716456857.946
0.001,1716456858.949, 1716456858.949
0.001,1716456859.952, 1716456859.953
0.001,1716456860.956, 1716456860.957
0.001,1716456861.960, 1716456861.960
0.001,1716456862.963, 1716456862.964
0.001,1716456863.967, 1716456863.968
0.001,1716456864.971, 1716456864.971
0.001,1716456865.974, 1716456865.975
0.001,1716456866.978, 1716456866.979
0.001,1716456867.982, 1716456867.982
0.001,1716456868.985, 1716456868.986
0.001,1716456869.989, 1716456869.990
0.001,1716456870.993, 1716456870.993
0.001,1716456871.996, 1716456871.997
0.001,1716456873.000, 1716456873.001
0.001,1716456874.004, 1716456874.004
0.001,1716456875.007, 1716456875.008
0.001,1716456876.011, 1716456876.012
0.001,1716456877.015, 1716456877.015
0.001,1716456878.019, 1716456878.019
0.001,1716456879.022, 1716456879.023
0.001,1716456880.026, 1716456880.027
0.001,1716456881.030, 1716456881.030
0.001,1716456882.034, 1716456882.034
0.001,1716456883.037, 1716456883.038
0.001,1716456884.041, 1716456884.042
0.001,1716456885.045, 1716456885.045
0.001,1716456886.049, 1716456886.049
0.001,1716456887.052, 1716456887.053
0.001,1716456888.056, 1716456888.057
0.001,1716456889.060, 1716456889.061
0.001,1716456890.064, 1716456890.064
0.001,1716456891.067, 1716456891.068
0.001,1716456892.071, 1716456892.072
0.001,1716456893.075, 1716456893.076
0.001,1716456894.079, 1716456894.079
0.001,1716456895.083, 1716456895.083
0.001,1716456896.086, 1716456896.087
0.001,1716456897.090, 1716456897.091
0.001,1716456898.094, 1716456898.094
0.001,1716456899.098, 1716456899.098
0.001,1716456900.101, 1716456900.102
0.001,1716456901.105, 1716456901.106
0.001,1716456902.109, 1716456902.109
0.001,1716456903.112, 1716456903.113
0.001,1716456904.116, 1716456904.117
0.001,1716456905.120, 1716456905.120
0.001,1716456906.123, 1716456906.124
0.001,1716456907.127, 1716456907.128
0.001,1716456908.131, 1716456908.131
0.001,1716456909.134, 1716456909.135
0.001,1716456910.138, 1716456910.139
0.001,1716456911.142, 1716456911.142
0.001,1716456912.145, 1716456912.146
0.001,1716456913.149, 1716456913.150
0.001,1716456914.153, 1716456914.154
0.001,1716456915.157, 1716456915.157
0.001,1716456916.160, 1716456916.161
0.001,1716456917.164, 1716456917.165
0.001,1716456918.168, 1716456918.168
0.001,1716456919.172, 1716456919.172
0.001,1716456920.175, 1716456920.176
0.001,1716456921.179, 1716456921.180
0.001,1716456922.183, 1716456922.183
0.001,1716456923.186, 1716456923.187
0.001,1716456924.190, 1716456924.191
0.001,1716456925.193, 1716456925.194
0.001,1716456926.197, 1716456926.198
0.001,1716456927.201, 1716456927.201
0.001,1716456928.204, 1716456928.205
0.001,1716456929.208, 1716456929.209
0.001,1716456930.212, 1716456930.213
0.001,1716456931.216, 1716456931.216
0.001,1716456932.219, 1716456932.220
0.001,1716456933.223, 1716456933.224
0.001,1716456934.227, 1716456934.227
0.001,1716456935.230, 1716456935.231
0.001,1716456936.234, 1716456936.235
0.001,1716456937.238, 1716456937.238
0.001,1716456938.241, 1716456938.242
0.001,1716456939.245, 1716456939.246
0.001,1716456940.249, 1716456940.250
0.001,1716456941.253, 1716456941.253
0.001,1716456942.256, 1716456942.257
0.001,1716456943.260, 1716456943.261
0.001,1716456944.264, 1716456944.264
0.001,1716456945.267, 1716456945.268
0.001,1716456946.271, 1716456946.271
0.001,1716456947.275, 1716456947.275
0.001,1716456948.278, 1716456948.279
0.001,1716456949.282, 1716456949.282
0.001,1716456950.286, 1716456950.286
0.001,1716456951.289, 1716456951.290
0.001,1716456952.293, 1716456952.294
0.001,1716456953.297, 1716456953.297
0.001,1716456954.300, 1716456954.301
0.001,1716456955.304, 1716456955.305
0.001,1716456956.308, 1716456956.309
0.001,1716456957.312, 1716456957.312
0.001,1716456958.315, 1716456958.316
0.001,1716456959.319, 1716456959.320
0.001,1716456960.323, 1716456960.324
0.001,1716456961.327, 1716456961.327
0.001,1716456962.330, 1716456962.331
0.001,1716456963.334, 1716456963.335
0.001,1716456964.338, 1716456964.338
0.001,1716456965.341, 1716456965.342
0.001,1716456966.345, 1716456966.346
0.001,1716456967.349, 1716456967.349
0.001,1716456968.353, 1716456968.353
0.001,1716456969.356, 1716456969.357
0.001,1716456970.360, 1716456970.361
0.001,1716456971.364, 1716456971.364
0.001,1716456972.367, 1716456972.368
0.001,1716456973.371, 1716456973.372
0.001,1716456974.375, 1716456974.375
0.001,1716456975.378, 1716456975.379
0.001,1716456976.382, 1716456976.383
0.001,1716456977.386, 1716456977.386
0.001,1716456978.389, 1716456978.390
0.001,1716456979.393, 1716456979.394
0.001,1716456980.397, 1716456980.397
0.001,1716456981.400, 1716456981.401
0.001,1716456982.404, 1716456982.405
0.001,1716456983.408, 1716456983.409
0.001,1716456984.412, 1716456984.412
0.001,1716456985.415, 1716456985.416
0.001,1716456986.419, 1716456986.420
0.001,1716456987.422, 1716456987.423
0.001,1716456988.426, 1716456988.427
0.001,1716456989.430, 1716456989.431
0.001,1716456990.434, 1716456990.434
0.001,1716456991.437, 1716456991.438
0.001,1716456992.441, 1716456992.442
0.001,1716456993.445, 1716456993.445
0.001,1716456994.448, 1716456994.449
0.001,1716456995.452, 1716456995.453
0.001,1716456996.456, 1716456996.457
0.001,1716456997.460, 1716456997.460
0.001,1716456998.463, 1716456998.464
0.001,1716456999.467, 1716456999.468
0.001,1716457000.471, 1716457000.472
0.001,1716457001.475, 1716457001.475
0.001,1716457002.478, 1716457002.479
0.001,1716457003.482, 1716457003.483
0.001,1716457004.486, 1716457004.487
0.001,1716457005.490, 1716457005.490
0.001,1716457006.493, 1716457006.494
0.001,1716457007.497, 1716457007.498
0.001,1716457008.501, 1716457008.501
0.001,1716457009.504, 1716457009.505
0.001,1716457010.508, 1716457010.509
0.001,1716457011.512, 1716457011.512
0.001,1716457012.515, 1716457012.516
0.001,1716457013.519, 1716457013.520
0.001,1716457014.523, 1716457014.524
0.001,1716457015.527, 1716457015.527
0.001,1716457016.530, 1716457016.531
0.001,1716457017.534, 1716457017.535
0.001,1716457018.538, 1716457018.538
0.001,1716457019.541, 1716457019.542
0.001,1716457020.545, 1716457020.546
0.001,1716457021.549, 1716457021.549
0.001,1716457022.552, 1716457022.553
0.001,1716457023.556, 1716457023.557
0.001,1716457024.560, 1716457024.560
0.001,1716457025.563, 1716457025.564
0.001,1716457026.567, 1716457026.568
0.001,1716457027.571, 1716457027.571
0.001,1716457028.574, 1716457028.575
0.001,1716457029.578, 1716457029.579
0.001,1716457030.582, 1716457030.582
0.001,1716457031.586, 1716457031.586
0.001,1716457032.589, 1716457032.590
0.001,1716457033.593, 1716457033.593
0.001,1716457034.596, 1716457034.597
0.001,1716457035.600, 1716457035.601
0.001,1716457036.604, 1716457036.605
0.001,1716457037.607, 1716457037.608
0.001,1716457038.611, 1716457038.612
0.001,1716457039.615, 1716457039.616
0.001,1716457040.619, 1716457040.619
0.001,1716457041.622, 1716457041.623
0.001,1716457042.626, 1716457042.627
0.001,1716457043.630, 1716457043.630
0.001,1716457044.633, 1716457044.634
0.001,1716457045.637, 1716457045.638
0.001,1716457046.641, 1716457046.642
0.001,1716457047.645, 1716457047.645
